OK	UH	OK
I	PP	I
have	VBP	have
been	VBN	be
a	DT	a
huge	JJ	huge
fan	NN	fan
of	IN	of
the	DT	the
Black	NP	Black
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
and	CC	and
was	VBD	be
DISGUSTED	JJ	disgusted
after	IN	after
seeing	VBG	see
this	DT	this
film	NN	film
Let	VB	let
's	VBZ	be
name	VB	name
the	DT	the
problems	NNS	problem
First	RB	first
this	DT	this
film	NN	film
has	VBZ	have
much	JJ	much
of	IN	of
the	DT	the
same	JJ	same
crew	NN	crew
that	IN	that
the	DT	the
first	JJ	first
two	CD	two
had	VBD	have
It	PP	it
has	VBZ	have
also	RB	also
been	VBN	be
called	VBN	call
the	DT	the
PREQUEL	NN	<unknown>
to	TO	to
the	DT	the
original	JJ	original
Black	NP	Black
Stallion	NP	Stallion
Why	WRB	why
is	VBZ	be
it	PP	it
that	IN	that
they	PP	they
ca	MD	ca
n't	RB	n't
get	VB	get
Shetan	NP	<unknown>
's	POS	's
dam	NN	dam
's	VBZ	be
name	NN	name
correct	JJ	correct
or	CC	or
her	PP$	her
color	NN	color
In	IN	in
The	DT	the
Black	NP	Black
Stallion	NP	Stallion
Returns	NP	<unknown>
we	PP	we
learn	VBP	learn
the	DT	the
Sagr	NP	<unknown>
was	VBD	be
the	DT	the
Black	NP	Black
's	POS	's
CHESTNUT	NP	Chestnut
mother	NN	mother
and	CC	and
in	IN	in
this	DT	this
film	NN	film
she	PP	she
is	VBZ	be
a	DT	a
gray	JJ	gray
mare	NN	mare
name	NN	name
Jenny	NP	Jenny
WTF	NP	<unknown>
And	CC	and
it	PP	it
's	VBZ	be
set	VBN	set
in	IN	in
Africa	NP	Africa
in	IN	in
1946	CD	@card@
and	CC	and
1947	CD	@card@
I	PP	I
could	MD	could
be	VB	be
wrong	JJ	wrong
but	CC	but
the	DT	the
first	JJ	first
one	CD	one
was	VBD	be
set	VBN	set
in	IN	in
the	DT	the
1940	CD	@card@
's	VBZ	be
as	RB	as
well	RB	well
when	WRB	when
the	DT	the
ship	NN	ship
wrecks	VBZ	wreck
Time	NP	Time
line	NN	line
does	VBZ	do
n't	RB	n't
sound	VB	sound
quite	RB	quite
right	JJ	right
to	TO	to
me	PP	me
Also	RB	also
as	IN	as
a	DT	a
goof	NN	goof
there	EX	there
is	VBZ	be
a	DT	a
friesian	NN	<unknown>
in	IN	in
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
movie	NN	movie
that	WDT	that
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
Shetan	NP	<unknown>
's	POS	's
father	NN	father
upon	IN	upon
further	JJR	further
notice	NN	notice
it	PP	it
appears	VBZ	appear
to	TO	to
be	VB	be
a	DT	a
gelding	VBG	geld
Ben	NP	Ben
Ishaak	NP	<unknown>
is	VBZ	be
the	DT	the
only	JJ	only
character	NN	character
that	WDT	that
remained	VBD	remain
to	TO	to
even	RB	even
make	VB	make
this	DT	this
film	NN	film
appear	VBP	appear
to	TO	to
be	VB	be
related	VBN	relate
to	TO	to
the	DT	the
previous	JJ	previous
two	CD	two
in	IN	in
any	DT	any
way	NN	way
Might	NN	might
be	VB	be
a	DT	a
cute	JJ	cute
family	NN	family
film	NN	film
to	TO	to
some	DT	some
but	CC	but
it	PP	it
's	VBZ	be
my	PP$	my
biggest	JJS	big
movie	NN	movie
disappointment	NN	disappointment
of	IN	of
the	DT	the
year	NN	year
