happened	VBN	happen
copy	NN	copy
not	RB	not
spent	VBD	spend
money	NN	money
i	NP	i
'd	VBD	have
finding	VBG	find
responsible	JJ	responsible
demanding	VBG	demand
all	DT	all
say	VBP	say
terrible	JJ	terrible
student	NN	student
film	NN	film
any	DT	any
understanding	NN	understanding
medium	NN	medium
film	NN	film
absent	JJ	absent
acting	VBG	act
god	NN	god
awful	JJ	awful
story	NN	story
rejected	VBD	reject
original	JJ	original
twilight	NN	twilight
zone	NN	zone
series	NN	series
as	IN	as
unoriginal	JJ	unoriginal
lame	JJ	lame
change	NN	change
tone	NN	tone
lead	NN	lead
character	NN	character
's	POS	's
reaction	NN	reaction
'	''	'
ghost	NN	ghost
'	POS	'
laughable	JJ	laughable
agree	VBP	agree
'	''	'
glowing	VBG	glow
'	''	'
reviews	VBZ	review
film	NN	film
friends	NNS	friend
family	NN	family
i	NNS	i
'm	VBP	be
afraid	JJ	afraid
it	PP	it
's	VBZ	be
not	RB	not
entertainingly	RB	entertainingly
bad	JJ	bad
amateur	JJ	amateur
extreme	NN	extreme
avoid	VB	avoid
avoid	VB	avoid
avoid	VB	avoid
