All	PDT	All
the	DT	the
bare	JJ	bare
chested	JJ	chested
women	NNS	woman
in	IN	in
the	DT	the
world	NN	world
could	MD	could
n't	RB	n't
keep	VB	keep
me	PP	me
from	IN	from
hitting	VBG	hit
the	DT	the
stop	NN	stop
button	NN	button
about	IN	about
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
way	NN	way
through	IN	through
this	DT	this
awful	JJ	awful
rubbish	NN	rubbish
With	IN	with
the	DT	the
derisory	JJ	derisory
acting	VBG	act
equally	RB	equally
terrible	JJ	terrible
script	NN	script
plus	IN	plus
the	DT	the
poor	JJ	poor
CGI	NP	<unknown>
FX	NP	FX
to	TO	to
match	VB	match
this	DT	this
movie	NN	movie
is	VBZ	be
an	DT	an
insult	NN	insult
to	TO	to
the	DT	the
Werewolf	NP	Werewolf
genre	NN	genre
It	PP	it
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
serious	JJ	serious
which	WDT	which
in	IN	in
itself	PP	itself
would	MD	would
be	VB	be
funny	JJ	funny
if	IN	if
this	DT	this
film	NN	film
could	MD	could
even	RB	even
make	VB	make
it	PP	it
to	TO	to
the	DT	the
level	NN	level
of	IN	of
being	VBG	be
a	DT	a
bad	JJ	bad
joke	NN	joke
This	DT	this
is	VBZ	be
one	CD	one
of	IN	of
those	DT	those
movies	NNS	movie
where	WRB	where
the	DT	the
people	NNS	people
behind	IN	behind
the	DT	the
camera	NN	camera
are	VBP	be
obviously	RB	obviously
competent	JJ	competent
but	CC	but
are	VBP	be
too	RB	too
lazy	JJ	lazy
to	TO	to
make	VB	make
something	NN	something
even	RB	even
one	CD	one
quarter	NN	quarter
decent	JJ	decent
Avoid	NN	<unknown>
at	IN	at
all	DT	all
costs	NNS	cost
and	CC	and
watch	VB	watch
one	PP	one
of	IN	of
the	DT	the
classic	JJ	classic
Werewolf	NP	Werewolf
movies	NNS	movie
instead	RB	instead
0	CD	0
out	IN	out
of	IN	of
10	CD	@card@
