there	EX	there
is	VBZ	be
no	DT	no
suspense	NN	suspense
in	IN	in
this	DT	this
serial	NN	serial
When	WRB	when
one	CD	one
episode	NN	episode
ends	VBZ	end
the	DT	the
acting	NN	acting
is	VBZ	be
so	RB	so
shoddy	JJ	shoddy
the	DT	the
effects	NNS	effect
are	VBP	be
so	RB	so
poor	JJ	poor
and	CC	and
the	DT	the
script	NN	script
is	VBZ	be
so	RB	so
awful	JJ	awful
that	IN	that
the	DT	the
last	JJ	last
thing	NN	thing
on	IN	on
your	PP$	your
mind	NN	mind
is	VBZ	be
how	WRB	how
Batman	NP	Batman
and	CC	and
Robin	NP	Robin
will	MD	will
save	VB	save
the	DT	the
day	NN	day
No	RB	no
in	IN	in
fact	NN	fact
the	DT	the
last	JJ	last
thing	NN	thing
on	IN	on
your	PP$	your
mind	NN	mind
is	VBZ	be
watching	VBG	watch
the	DT	the
next	JJ	next
episode	NN	episode
This	DT	this
show	NN	show
is	VBZ	be
so	RB	so
boring	JJ	boring
that	IN	that
I	PP	I
ca	MD	ca
n't	RB	n't
see	VB	see
how	WRB	how
it	PP	it
ever	RB	ever
got	VBD	get
made	VBN	make
let	VBP	let
alone	RB	alone
released	VBN	release
on	IN	on
DVD	NP	<unknown>
Obviously	RB	obviously
the	DT	the
effects	NNS	effect
are	VBP	be
not	RB	not
up	RB	up
to	TO	to
par	NN	par
with	IN	with
contemporary	JJ	contemporary
Batman	NP	Batman
films	NNS	film
but	CC	but
even	RB	even
the	DT	the
script	NN	script
is	VBZ	be
awful	JJ	awful
An	DT	an
incoherent	JJ	incoherent
babbling	VBG	babble
mess	NN	mess
about	IN	about
some	DT	some
evil	JJ	evil
professor	NN	professor
and	CC	and
a	DT	a
ray	NN	ray
gun	NN	gun
or	CC	or
something	NN	something
like	IN	like
that	WDT	that
I	PP	I
am	VBP	be
not	RB	not
quite	RB	quite
sure	JJ	sure
because	IN	because
it	PP	it
is	VBZ	be
too	RB	too
awful	JJ	awful
to	TO	to
follow	VB	follow
Watch	NP	<unknown>
the	DT	the
60s	JJ	<unknown>
version	NN	version
or	CC	or
the	DT	the
90	CD	@card@
's	POS	's
versions	NNS	version
or	CC	or
even	RB	even
Batman	NP	Batman
Begins	NP	<unknown>
just	RB	just
anything	NN	anything
over	IN	over
this	DT	this
version	NN	version
