My	PP$	my
friend	NN	friend
's	POS	's
mom	NN	mom
used	VBD	use
to	TO	to
work	VB	work
at	IN	at
a	DT	a
video	JJ	video
store	NN	store
and	CC	and
got	VBD	get
to	TO	to
preview	VB	preview
movies	NNS	movie
before	IN	before
they	PP	they
came	VBD	come
out	RP	out
so	RB	so
when	WRB	when
she	PP	she
brought	VBD	bring
home	RB	home
The	DT	the
Convent	NN	convent
a	DT	a
horror	NN	horror
movie	NN	movie
i	NP	i
could	MD	could
n't	RB	n't
wait	VB	wait
to	TO	to
watch	VB	watch
it	PP	it
Given	VBN	give
that	IN	that
it	PP	it
's	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
scary	JJ	scary
but	CC	but
is	VBZ	be
actually	RB	actually
downright	RB	downright
hilarious	JJ	hilarious
I	PP	I
can	MD	can
say	VB	say
that	IN	that
in	IN	in
some	DT	some
weird	JJ	weird
way	NN	way
I	PP	I
like	VBP	like
this	DT	this
movie	NN	movie
yes	RB	yes
the	DT	the
acting	NN	acting
is	VBZ	be
bad	JJ	bad
and	CC	and
yes	RB	yes
it	PP	it
's	VBZ	be
the	DT	the
cheapest	JJS	cheap
movie	NN	movie
i	NNS	i
've	VBP	have
ever	RB	ever
seen	VBN	see
but	CC	but
it	PP	it
's	VBZ	be
so	RB	so
damn	RB	damn
funny	JJ	funny
"	''	"
WHAT	WP	what
ARE	VBP	be
YOU	PP	you
SMOKING	VBG	smoke
CA	NP	Ca
RACK	NP	Rack
"	''	"
i	NP	i
did	VBD	do
n't	RB	n't
know	VB	know
this	DT	this
movie	NN	movie
even	RB	even
was	VBD	be
ever	RB	ever
released	VBN	release
i	NP	i
figured	VBD	figure
it	PP	it
was	VBD	be
too	RB	too
bad	JJ	bad
Yeah	UH	Yeah
so	RB	so
overall	JJ	overall
the	DT	the
movie	NN	movie
is	VBZ	be
pretty	RB	pretty
bad	JJ	bad
you	PP	you
gotta	VBN	gotta
admit	VBP	admit
that	IN	that
much	RB	much
at	IN	at
least	JJS	least
but	RB	but
I	PP	I
promise	VBP	promise
you	PP	you
you	PP	you
will	MD	will
get	VB	get
a	DT	a
good	JJ	good
laugh	NN	laugh
out	RP	out
of	IN	of
it	PP	it
this	DT	this
movie	NN	movie
kinda	RB	kinda
sucks	VBZ	suck
but	CC	but
it	PP	it
's	VBZ	be
good	JJ	good
for	IN	for
a	DT	a
laugh	NN	laugh
especially	RB	especially
that	DT	that
guy	NN	guy
that	WDT	that
holds	VBZ	hold
the	DT	the
'	''	'
dagger	NN	dagger
of	IN	of
despair	NN	despair
'	POS	'
THE	NP	THE
DAGGER	NP	<unknown>
OF	IN	of
DESPAAAAAAIR	NP	<unknown>
