disjointed	VBN	disjoint
unclear	JJ	unclear
bad	JJ	bad
screenplay	NN	screenplay
poor	JJ	poor
photography	NN	photography
direction	NN	direction
all	PDT	all
all	DT	all
very	RB	very
obviously	RB	obviously
ill	JJ	ill
conceived	JJ	conceived
effort	NN	effort
commercial	JJ	commercial
film	NN	film
making	VBG	make
good	JJ	good
people	NNS	people
tbn	NN	<unknown>
tbn	NN	<unknown>
pictures	VBZ	picture
great	JJ	great
success	NN	success
past	IN	past
helping	VBG	help
bring	VB	bring
"	``	"
china	NN	china
cry	NN	cry
"	''	"
story	NN	story
nora	NNS	<unknown>
lam	VBP	lam
big	JJ	big
screen	NN	screen
but	CC	but
"	``	"
the	DT	the
omega	NN	omega
code	NN	code
"	``	"
unfortunate	JJ	unfortunate
miscue	NN	miscue
as	IN	as
christian	JJ	Christian
supports	NNS	support
tbn	NN	<unknown>
lot	NN	lot
programming	NN	programming
loved	VBD	love
"	``	"
china	NN	china
cry	NN	cry
"	``	"
still	RB	still
impossible	JJ	impossible
recommend	VBP	recommend
film	NN	film
much	RB	much
good	JJ	good
ministry	NN	ministry
but	CC	but
is	VBZ	be
n't	RB	n't
example	NN	example
do	VBP	do
n't	RB	n't
waste	VB	waste
money	NN	money
rent	NN	rent
"	''	"
china	NN	china
cry	NN	cry
"	``	"
instead	RB	instead
