my	PP$	my
wife	NN	wife
just	RB	just
finished	VBD	finish
came	VBD	come
imdb	NN	<unknown>
commiserate	VB	commiserate
reviewers	NNS	reviewer
less	JJR	less
than	IN	than
satisfactory	JJ	satisfactory
however	RB	however
10	CD	@card@
pages	NNS	page
reviews	VBZ	review
handful	NN	handful
negative	JJ	negative
feel	VBP	feel
great	JJ	great
concept	NN	concept
gone	VBN	go
horribly	RB	horribly
awry	RB	awry
want	VBP	want
warn	VB	warn
looking	VBG	look
watch	NN	watch
the	DT	the
future	NN	future
admit	VBP	admit
i	NNS	i
'm	VBP	be
more	RBR	more
inspired	VBN	inspire
write	NN	write
reviews	NNS	review
do	VBP	do
n't	RB	n't
like	VB	like
than	IN	than
as	IN	as
handful	NN	handful
reviews	VBZ	review
all	DT	all
negative	NN	negative
still	RB	still
does	VBZ	do
n't	RB	n't
mean	VB	mean
i	NNS	i
'm	VBP	be
biased	VBN	bias
not	RB	not
enjoying	VBG	enjoy
but	CC	but
often	RB	often
more	RBR	more
eloquent	JJ	eloquent
reviews	NNS	review
enjoy	VBP	enjoy
paris	NP	Paris
je	NP	Je
t'aime	NN	<unknown>
most	RBS	most
pretentious	JJ	pretentious
i	NNS	i
've	VBP	have
seen	VBN	see
years	NNS	year
using	VBG	use
"	``	"
intelligent	JJ	intelligent
"	''	"
concept	NN	concept
attaching	VBG	attach
big	JJ	big
talent	NN	talent
couple	NN	couple
way	NN	way
many	JJ	many
short	JJ	short
stories	NNS	storey
ends	VBZ	end
up	IN	up
worst	JJS	bad
all	DT	all
worlds	NNS	world
art	NN	art
arts	NNS	art
sake	NN	sake
but	CC	but
2	CD	2
year	NN	year
old	JJ	old
dream	VBP	dream
up	RB	up
accomplish	VB	accomplish
giving	VBG	give
director	NN	director
free	JJ	free
reign	NN	reign
5	CD	5
minutes	NNS	minute
screen	NN	screen
time	NN	time
proves	VBZ	prove
division	NN	division
labor	NN	labor
entertainment	NN	entertainment
directors	NNS	director
ca	MD	ca
n't	RB	n't
write	VB	write
writers	NNS	writer
ca	MD	ca
n't	RB	n't
direct	VB	direct
i	NP	i
'd	MD	will
like	VB	like
throw	VB	throw
clint	NN	<unknown>
eastwood	NN	<unknown>
overrated	VBN	overrate
but	CC	but
he	PP	he
's	POS	's
actor	NN	actor
turn	NN	turn
director	NN	director
{	(	{
which	WDT	which
rarely	RB	rarely
works	VBZ	work
either	RB	either
}	)	}
ends	VBZ	end
up	RB	up
screen	VB	screen
garbled	VBN	garble
mess	NN	mess
short	JJ	short
stories	NNS	storey
do	VBP	do
n't	RB	n't
make	VB	make
any	DT	any
sense	NN	sense
not	RB	not
completed	VBD	complete
5	CD	5
minutes	NNS	minute
total	JJ	total
spoil	NN	spoil
paris	NN	<unknown>
paris	NN	<unknown>
je	NP	Je
t'aime	NN	<unknown>
more	RBR	more
apropos	JJ	apropos
title	NN	title
cluster	NN	cluster
f	SYM	f
ck	JJ	<unknown>
couple	NN	couple
stories	NNS	storey
watchable	JJ	watchable
most	JJS	most
notably	RB	notably
piece	NN	piece
alfonso	NN	<unknown>
cuarn	NN	<unknown>
but	CC	but
fall	NN	fall
obscurity	NN	obscurity
coen	NN	<unknown>
brothers	NNS	brother
short	RB	short
passable	JJ	passable
but	CC	but
theirs	PP	theirs
does	VBZ	do
not	RB	not
contain	VB	contain
scene	NN	scene
pick	VB	pick
guitar	NN	guitar
it	PP	it
's	VBZ	be
as	RB	as
all	DT	all
directors	NNS	director
decided	VBD	decide
doing	VBG	do
want	NN	want
chose	VBD	choose
paris	NNS	<unknown>
as	IN	as
place	NN	place
as	IN	as
all	DT	all
love	NN	love
paris	NN	<unknown>
present	JJ	present
company	NN	company
included	VBD	include
blinded	VBN	blind
fact	NN	fact
sucks	VBZ	suck
fact	NN	fact
think	VB	think
directors	NNS	director
names	NNS	name
shorts	NNS	short
directors	NNS	director
saw	VBD	see
poor	JJ	poor
film	NN	film
decided	VBD	decide
make	VB	make
sure	RB	sure
blamed	VBN	blame
5	CD	5
minutes	NNS	minute
seriously	RB	seriously
seriously	RB	seriously
people	NNS	people
natalie	NN	<unknown>
portman	NN	<unknown>
not	RB	not
good	JJ	good
actress	NN	actress
is	VBZ	be
not	RB	not
pixie	NN	pixie
dream	NN	dream
girl	NN	girl
waiting	VBG	wait
maggie	NN	maggie
gyllenhaal	JJ	<unknown>
people	NNS	people
acting	VBG	act
just	RB	just
regurgitating	VBG	regurgitate
performances	NNS	performance
i	NNS	i
'm	VBP	be
looking	VBG	look
natalie	NN	<unknown>
portman	NN	<unknown>
garden	NN	garden
state	NN	state
closer	JJR	close
elijah	NN	<unknown>
wood	NN	wood
sin	NN	sin
city	NN	city
catalina	NP	Catalina
sandino	NP	Sandino
moreno	NP	Moreno
maria	NNS	mare
full	JJ	full
grace	NN	grace
final	JJ	final
comment	NN	comment
acting	VBG	act
double	JJ	double
kudos	NN	kudos
nick	NN	nick
nolte	NN	<unknown>
acting	NN	acting
looking	VBG	look
more	RBR	more
humane	JJ	humane
than	IN	than
ages	NNS	age
again	RB	again
short	JJ	short
youtube	NN	<unknown>
as	IN	as
5	CD	5
minutes	NNS	minute
quite	RB	quite
enjoyable	JJ	enjoyable
writing	VBG	write
short	JJ	short
stories	NNS	storey
very	RB	very
difficult	JJ	difficult
handful	NN	handful
authors	NNS	author
gotten	VBN	get
right	JJ	right
i	NNS	i
'm	VBP	be
thinking	VBG	think
ernst	JJ	<unknown>
hemingway	NN	<unknown>
raymond	JJ	<unknown>
carver	NN	carver
f	SYM	f
scott	NP	Scott
fitzgerald	NP	Fitzgerald
john	NN	john
cheever	NN	<unknown>
just	RB	just
few	JJ	few
much	RB	much
harder	RBR	harder
than	IN	than
writing	VBG	write
full	JJ	full
novel	NN	novel
truly	RB	truly
talented	JJ	talented
accomplish	VB	accomplish
said	VBD	say
short	JJ	short
films	NNS	film
appears	VBZ	appear
director	NN	director
live	JJ	live
annals	NN	annals
history	NN	history
uphold	VB	uphold
paris	NNS	<unknown>
as	IN	as
gem	NN	gem
discovered	VBD	discover
reflected	VBN	reflect
lenses	NNS	lens
story	NN	story
do	VBP	do
n't	RB	n't
expect	VB	expect
enjoy	VB	enjoy
all	DT	all
directors	NNS	director
either	CC	either
did	VBD	do
n't	RB	n't
care	VB	care
lazy	JJ	lazy
either	CC	either
scenario	NN	scenario
time	NN	time
reading	NN	reading
means	VBZ	mean
rented	VBN	rent
praise	NN	praise
did	VBD	do
n't	RB	n't
pay	VB	pay
10	CD	@card@
dollars	NNS	dollar
head	VBP	head
theaters	NNS	theater
