Wow	VB	wow
What	WP	What
a	DT	a
wonderful	JJ	wonderful
film	NN	film
The	DT	the
script	NN	script
is	VBZ	be
nearly	RB	nearly
perfect	JJ	perfect
it	PP	it
appears	VBZ	appear
this	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
film	NN	film
written	VBN	write
by	IN	by
Minglun	NP	<unknown>
Wei	NP	Wei
I	PP	I
hope	VBP	hope
he	PP	he
has	VBZ	have
more	JJR	more
stories	NNS	storey
in	IN	in
him	PP	him
The	DT	the
acting	NN	acting
is	VBZ	be
sublime	JJ	sublime
Renying	NP	<unknown>
Zhou	NP	Zhou
as	IN	as
Doggie	NP	<unknown>
was	VBD	be
amazing	JJ	amazing
very	RB	very
natural	JJ	natural
talent	NN	talent
and	CC	and
Xu	NP	Xu
Zhu	NP	Zhu
was	VBD	be
a	DT	a
delight	NN	delight
very	RB	very
believable	JJ	believable
as	IN	as
the	DT	the
jaded	JJ	jaded
old	JJ	old
traditionalist	NN	traditionalist
The	DT	the
soundtrack	NN	soundtrack
was	VBD	be
very	RB	very
effective	JJ	effective
guiding	VBG	guide
without	IN	without
being	VBG	be
overwhelming	JJ	overwhelming
If	IN	if
only	RB	only
more	JJR	more
movies	NNS	movie
like	IN	like
this	DT	this
were	VBD	be
made	VBN	make
whether	IN	whether
in	IN	in
Hollywood	NP	Hollywood
or	CC	or
Hong	NP	Hong
Kong	NP	Kong
a	DT	a
family	NN	family
friendly	JJ	friendly
well	NN	well
acted	VBD	act
well	RB	well
written	VBN	write
well	RB	well
directed	VBN	direct
near	IN	near
perfect	JJ	perfect
gem	NN	gem
