Based	VBN	base
upon	IN	upon
the	DT	the
recommendation	NN	recommendation
of	IN	of
a	DT	a
friend	NN	friend
my	PP$	my
wife	NN	wife
and	CC	and
I	PP	I
invited	VBD	invite
another	DT	another
couple	NN	couple
to	TO	to
this	DT	this
film	NN	film
I	PP	I
really	RB	really
apologized	VBD	apologize
to	TO	to
them	PP	them
all	RB	all
4	CD	4
of	IN	of
us	PP	us
hated	VBD	hate
it	PP	it
and	CC	and
spent	VBD	spend
the	DT	the
whole	JJ	whole
time	NN	time
looking	VBG	look
at	IN	at
our	PP$	our
watches	NNS	watch
waiting	VBG	wait
for	IN	for
the	DT	the
film	NN	film
to	TO	to
finally	RB	finally
end	VB	end
Half	PDT	half
the	DT	the
vignettes	NNS	vignette
are	VBP	be
bizarre	JJ	bizarre
with	IN	with
very	RB	very
little	JJ	little
entertainment	NN	entertainment
value	VBP	value
There	EX	there
were	VBD	be
few	JJ	few
scenes	NNS	scene
of	IN	of
Paris	NP	Paris
for	IN	for
example	NN	example
I	PP	I
was	VBD	be
looking	VBG	look
forward	RB	forward
to	TO	to
seeing	VBG	see
some	DT	some
pictures	NNS	picture
of	IN	of
the	DT	the
Latin	JJ	Latin
Quarter	NN	quarter
but	CC	but
I	PP	I
could	MD	could
n't	RB	n't
really	RB	really
recognize	VB	recognize
anything	RB	anything
Most	JJS	most
of	IN	of
the	DT	the
scene	NN	scene
was	VBD	be
inside	RB	inside
a	DT	a
bar	NN	bar
No	DT	no
one	CD	one
in	IN	in
the	DT	the
theater	NN	theater
laughed	VBD	laugh
at	IN	at
anything	NN	anything
or	CC	or
reacted	VBD	react
in	IN	in
any	DT	any
way	NN	way
If	IN	if
you	PP	you
like	VBP	like
bizarre	JJ	bizarre
pretentious	JJ	pretentious
pseudo	JJ	pseudo
intellectual	JJ	intellectual
films	NNS	film
do	VBP	do
n't	RB	n't
miss	VB	miss
this	DT	this
If	IN	if
you	PP	you
are	VBP	be
down	RB	down
to	TO	to
earth	VB	earth
like	IN	like
me	PP	me
you	PP	you
will	MD	will
be	VB	be
sorry	RB	sorry
you	PP	you
saw	VBD	see
it	PP	it
