Denzel	NP	Denzel
is	VBZ	be
about	RB	about
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
is	VBZ	be
right	RB	right
in	IN	in
this	DT	this
movie	NN	movie
Maybe	RB	maybe
once	RB	once
in	IN	in
an	DT	an
early	JJ	early
stage	NN	stage
this	DT	this
was	VBD	be
a	DT	a
better	JJR	good
movie	NN	movie
Someone	NN	someone
decided	VBD	decide
to	TO	to
cut	VB	cut
some	DT	some
action	NN	action
and	CC	and
plot	NN	plot
points	NNS	point
into	IN	into
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
movie	NN	movie
giving	VBG	give
away	RB	away
most	JJS	most
of	IN	of
the	DT	the
story	NN	story
line	NN	line
in	IN	in
about	RB	about
the	DT	the
first	JJ	first
5	CD	5
minutes	NNS	minute
That	IN	that
and	CC	and
ruining	VBG	ruin
whatever	WDT	whatever
build	VBP	build
up	RP	up
in	IN	in
pace	NN	pace
and	CC	and
rhythm	NN	rhythm
the	DT	the
movie	NN	movie
might	MD	might
have	VB	have
had	VBN	have
before	IN	before
So	RB	so
first	JJ	first
it	PP	it
confuses	VBZ	confuse
you	PP	you
and	CC	and
then	RB	then
it	PP	it
puts	VBZ	put
you	PP	you
off	RP	off
The	DT	the
dramatization	NN	dramatization
pushes	VBZ	push
beyond	IN	beyond
suspension	NN	suspension
of	IN	of
disbelieve	VB	disbelieve
Of	IN	of
course	NN	course
there	EX	there
is	VBZ	be
that	DT	that
feeling	NN	feeling
of	IN	of
great	JJ	great
injustice	NN	injustice
and	CC	and
anger	NN	anger
that	IN	that
movies	NNS	movie
like	IN	like
this	DT	this
potentially	RB	potentially
manage	VBP	manage
to	TO	to
instill	VB	instill
in	IN	in
viewers	NNS	viewer
Granted	VBD	grant
it	PP	it
does	VBZ	do
that	IN	that
so	RB	so
if	IN	if
you	PP	you
are	VBP	be
looking	VBG	look
for	IN	for
that	DT	that
knock	NN	knock
yourself	PP	yourself
out	RB	out
