@RELATION donnees
@ATTRIBUTE text STRING
@ATTRIBUTE eval {-1,1}
@data
"sorry know be suppose be wow have hand out blow out not watch photographic be excellent be too painful watch sound be brutal be too long How long watch just sit there talk especially when be complain really have hard just get be excellent how much dark sombre uninspired take only like be red otherwise be be think say enjoy be well lie",-1
"when be little take along see be many watch be only walk out then have never see just recently have live out pretentious ponderous painfully boring be favorite be far bad unmistakable give dark angular muted wrought psychological cause love non intentionally have comic be drench shadowy be well define use improvisational illicit more pronounced be be painfully slow dull beyond simply have instead feel only shuffle whine stain perpetual cosmopolitan bake loom speak affected elevated be lose struggle desperate find whatever just go where just want slap be never be only about interminable introspective be nothing more psychological take connect choose make so immerse feel leave out find painfully self indulgent spiritually drain see be go promote distorted jettison highly recommend be feel little too happy remind otherwise let be just pretend never happen",-1
"be mediocre good be as funny bitchy carry over fail be only come out unscathed horrible anti only positive come out be hopefully produce good",-1
"be bad be other say be weak outdate especially do not think most know be really care feel as be watch be be just not believable even be set think ring true watch too be low quick most do not stay do not think really think out ahead many seem be cut short as be never finish just do not know how finish jump next have try figure out guess be go really do not get private be artistic male be thinking think be very poor try create dark private do not work do not even seem make really only good be play flawlessly really do get great have be say ago be great most likely never get recognize do not see be painful be true",-1
"be giant be utterly lose own bad be about as comatose be actually have be sleepwalk bad though be ordinarily like when be properly cast play homosexual play social bored not have be more dimensional have be cut out bounce around stick southern be deliver as be still drain have be monotonous be not bad play attempt affect be so clumsy barely deliver bad write be incapable roll be real be German speak several be Italian be good cast else do not think lead be bad begin end only tolerable come support only manage make be excellent be trap really bad no ever be good enough redeem endless watch else be not worth",-1
"be most boring not even woody save sink be suppose be be not be be not bad be just plain awful just sit utter how find be very clever make boring hide well good go probably see think be good rent be horrible get rip off go rent actually do enjoy like watch mean",-1
"wear take equally wear eventually be shut out outstanding think rise hackneyed inexplicable be completely unnecessary other completely unexplore seem be include only titillate when learn have gay do not automatically make more compelling regrettably dreadful when pick good expect good be definitely miss",-1
"see consider this bad have ever see try combine teenage hot have sire maybe deserve second see be accurate",-1
"be typical be not concern be about get kick out hot meet once kick decide try old only be turn out be out play",-1
"bad have see there be seem more haphazard stitch together heavily influence very poorly execute do not go watch be exasperate make wonder be think only remember watch be why do not give be think have see bad prove wrong",-1
