Hey	UH	hey
now	RB	now
yours	PP$	yours
truly	RB	truly
TheatreX	NP	<unknown>
found	VBD	find
this	DT	this
while	NN	while
grubbing	VBG	grub
through	IN	through
videos	NNS	video
at	IN	at
the	DT	the
flea	NN	flea
market	NN	market
in	IN	in
almost	RB	almost
new	JJ	new
condition	NN	condition
and	CC	and
in	IN	in
reading	VBG	read
the	DT	the
back	NN	back
of	IN	of
the	DT	the
box	NN	box
saw	VBD	see
that	IN	that
it	PP	it
was	VBD	be
somewhat	RB	somewhat
of	IN	of
a	DT	a
"	``	"
cult	NN	cult
hit	NN	hit
"	''	"
so	RB	so
of	IN	of
course	NN	course
it	PP	it
came	VBD	come
home	RB	home
with	IN	with
me	PP	me
What	WP	What
a	DT	a
strange	JJ	strange
film	NN	film
The	DT	the
aunt	NN	aunt
and	CC	and
cousin	NN	cousin
of	IN	of
former	JJ	former
first	JJ	first
lady	NN	lady
Jacqueline	NP	Jacqueline
Bouvier	NP	Bouvier
Kennedy	NP	Kennedy
Onassis	NP	Onassis
live	VBP	live
in	IN	in
this	DT	this
decaying	VBG	decay
28	CD	@card@
room	NN	room
house	NN	house
out	IN	out
on	IN	on
Long	NP	Long
Island	NP	Island
Suffolk	NP	Suffolk
Co	NP	Co
and	CC	and
share	VB	share
the	DT	the
house	NN	house
with	IN	with
raccoons	NNS	raccoon
cats	NNS	cat
fleas	NNS	flea
eyow	NN	<unknown>
and	CC	and
who	WP	who
knows	VBZ	know
what	WP	what
else	RB	else
Suffolk	NP	Suffolk
Co	NP	Co
was	VBD	be
all	RB	all
over	IN	over
them	PP	them
at	IN	at
one	CD	one
point	NN	point
for	IN	for
living	VBG	live
in	IN	in
filth	NN	filth
and	CC	and
old	JJ	old
Jackie	NP	Jackie
herself	PP	herself
came	VBD	come
by	IN	by
to	TO	to
set	VB	set
things	NNS	thing
right	RB	right
Anyway	RB	anyway
this	DT	this
is	VBZ	be
one	CD	one
strange	JJ	strange
pair	NN	pair
Big	NP	Big
Edie	NP	Edie
and	CC	and
Little	NP	Little
Edie	NP	Edie
Edie	NP	Edie
the	DT	the
daughter	NN	daughter
always	RB	always
wears	VBZ	wear
something	NN	something
over	IN	over
her	PP$	her
head	NN	head
and	CC	and
dances	NNS	dance
sings	VBZ	sing
and	CC	and
gives	VBZ	give
little	JJ	little
asides	NNS	aside
to	TO	to
the	DT	the
camera	NN	camera
that	WDT	that
rarely	RB	rarely
make	VBP	make
much	JJ	much
sense	NN	sense
Big	NP	Big
Edie	NP	Edie
the	DT	the
mother	NN	mother
age	NN	age
79	CD	@card@
apparently	RB	apparently
likes	VBZ	like
to	TO	to
run	VB	run
around	RP	around
naked	JJ	naked
and	CC	and
while	IN	while
we	PP	we
do	VBP	do
get	VB	get
hints	NNS	hint
of	IN	of
what	WP	what
that	DT	that
might	MD	might
look	VB	look
like	IN	like
thankfully	RB	thankfully
this	DT	this
was	VBD	be
tastefully	RB	tastefully
done	VBN	do
to	TO	to
the	DT	the
point	NN	point
where	WRB	where
we	PP	we
're	VBP	be
mercifully	RB	mercifully
spared	VBN	spare
from	IN	from
that	IN	that
These	DT	these
women	NNS	woman
talk	VBP	talk
and	CC	and
talk	VBP	talk
and	CC	and
talk	VBP	talk
mostly	RB	mostly
about	IN	about
the	DT	the
past	JJ	past
and	CC	and
it	PP	it
does	VBZ	do
n't	RB	n't
make	VB	make
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
sense	NN	sense
except	IN	except
to	TO	to
them	PP	them
They	PP	they
live	VBP	live
in	IN	in
absolute	JJ	absolute
filth	NN	filth
cats	NNS	cat
doing	VBG	do
their	PP$	their
business	NN	business
wherever	WRB	wherever
"	``	"
Look	VB	look
that	DT	that
cat	NN	cat
's	VBZ	be
going	VBG	go
to	TO	to
the	DT	the
bathroom	NN	bathroom
behind	IN	behind
my	PP$	my
portrait	NN	portrait
"	''	"
and	CC	and
one	CD	one
bedroom	NN	bedroom
appears	VBZ	appear
to	TO	to
be	VB	be
their	PP$	their
center	NN	center
of	IN	of
operations	NNS	operation
If	IN	if
I	PP	I
close	VB	close
my	PP$	my
eyes	NNS	eye
and	CC	and
listen	VB	listen
to	TO	to
Big	NP	Big
Edie	NP	Edie
's	POS	's
voice	NN	voice
it	PP	it
reminds	VBZ	remind
me	PP	me
very	RB	very
much	RB	much
of	IN	of
my	PP$	my
own	JJ	own
late	JJ	late
aunt	NN	aunt
who	WP	who
was	VBD	be
from	IN	from
that	DT	that
area	NN	area
of	IN	of
the	DT	the
country	NN	country
and	CC	and
had	VBD	have
that	DT	that
Lawn	NP	Lawn
Guyland	NP	<unknown>
accent	NN	accent
One	CD	One
scene	NN	scene
has	VBZ	have
Little	NP	Little
Edie	NP	Edie
putting	VBG	put
on	IN	on
flea	NN	flea
repellent	JJ	repellent
lovely	NN	lovely
you	PP	you
can	MD	can
see	VB	see
all	PDT	all
the	DT	the
cats	NNS	cat
scratching	VBG	scratch
all	PDT	all
the	DT	the
time	NN	time
so	IN	so
the	DT	the
place	NN	place
must	MD	must
have	VB	have
been	VBN	be
infested	VBN	infest
The	DT	the
box	NN	box
refers	VBZ	refer
to	TO	to
these	DT	these
two	CD	two
women	NNS	woman
as	IN	as
"	``	"
eccentric	JJ	eccentric
"	''	"
and	CC	and
I	PP	I
'd	MD	will
have	VB	have
to	TO	to
say	VB	say
in	IN	in
this	DT	this
case	NN	case
it	PP	it
is	VBZ	be
just	RB	just
a	DT	a
euphemism	NN	euphemism
for	IN	for
"	``	"
wacked	VBN	<unknown>
out	RP	out
of	IN	of
their	PP$	their
gourds	NNS	gourd
"	''	"
but	CC	but
this	DT	this
film	NN	film
is	VBZ	be
not	RB	not
without	IN	without
its	PP$	its
moments	NNS	moment
where	WRB	where
you	PP	you
truly	RB	truly
feel	VBP	feel
something	NN	something
for	IN	for
them	PP	them
This	DT	this
is	VBZ	be
equal	JJ	equal
parts	NNS	part
creepy	JJ	creepy
sad	JJ	sad
and	CC	and
disgusting	JJ	disgusting
but	CC	but
I	PP	I
could	MD	could
n't	RB	n't
stop	VB	stop
watching	VBG	watch
once	IN	once
I	PP	I
started	VBD	start
This	DT	this
is	VBZ	be
not	RB	not
my	PP$	my
"	``	"
normal	JJ	normal
"	''	"
type	NN	type
of	IN	of
flick	NN	flick
but	CC	but
I	PP	I
found	VBD	find
it	PP	it
to	TO	to
be	VB	be
somewhat	RB	somewhat
fascinating	JJ	fascinating
It	PP	it
wo	MD	wo
n't	RB	n't
be	VB	be
for	IN	for
everybody	NN	everybody
though	IN	though
guaranteed	VBN	guarantee
