I	PP	I
did	VBD	do
n't	RB	n't
know	VB	know
if	IN	if
i	NP	i
would	MD	would
laugh	VB	laugh
or	CC	or
cry	VB	cry
seeing	VBG	see
this	DT	this
Only	RB	only
addicted	VBN	addict
fans	NNS	fan
of	IN	of
danni	NN	<unknown>
filth	NN	filth
could	MD	could
have	VB	have
a	DT	a
taste	NN	taste
for	IN	for
this	DT	this
This	NP	This
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
a	DT	a
horror	NN	horror
movie	NN	movie
but	CC	but
there	EX	there
's	VBZ	be
only	RB	only
filth	NN	filth
in	IN	in
this	DT	this
The	DT	the
most	RBS	most
cool	JJ	cool
scene	NN	scene
is	VBZ	be
the	DT	the
car	NN	car
accident	NN	accident
with	IN	with
real	JJ	real
special	JJ	special
effects	NNS	effect
from	IN	from
the	DT	the
best	JJS	good
of	IN	of
hollywood	NP	Hollywood
Avoid	NP	<unknown>
this	DT	this
movie	NN	movie
at	IN	at
all	DT	all
costs	NNS	cost
See	VB	see
this	DT	this
only	JJ	only
for	IN	for
studies	NNS	study
of	IN	of
how	WRB	how
bad	RB	bad
can	MD	can
be	VB	be
a	DT	a
movie	NN	movie
