Taped	VBN	tape
this	DT	this
late	JJ	late
night	NN	night
movie	NN	movie
when	WRB	when
I	PP	I
was	VBD	be
in	IN	in
grade	NN	grade
11	CD	@card@
watched	VBD	watch
it	PP	it
on	IN	on
fast	RB	fast
forward	RB	forward
I	PP	I
sugest	VBP	<unknown>
you	PP	you
do	VBP	do
the	DT	the
same	JJ	same
I	NN	I
though	IN	though
it	PP	it
would	MD	would
be	VB	be
and	CC	and
action	NN	action
film	NN	film
but	CC	but
went	VBD	go
to	TO	to
a	DT	a
cort	NN	<unknown>
tv	NN	tv
type	NN	type
movie	NN	movie
In	IN	in
the	DT	the
end	NN	end
it	PP	it
fits	VBZ	fit
in	IN	in
with	IN	with
the	DT	the
early	JJ	early
70	CD	@card@
's	POS	's
social	JJ	social
activest	JJS	active
type	NN	type
films	NNS	film
Glad	NP	Glad
I	NP	I
missed	VBD	miss
that	DT	that
era	NN	era
2	CD	2
10	CD	@card@
