Worst	JJS	bad
movie	NN	movie
I	PP	I
have	VBP	have
seen	VBN	see
since	IN	since
Gingerale	NP	<unknown>
Afternoon	NN	afternoon
I	PP	I
suppose	VBP	suppose
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
horror	NN	horror
comedy	NN	comedy
I	PP	I
pretty	RB	pretty
much	RB	much
predicted	VBD	predict
every	DT	every
scene	NN	scene
in	IN	in
this	DT	this
movie	NN	movie
The	DT	the
special	JJ	special
effects	NNS	effect
were	VBD	be
not	RB	not
so	RB	so
special	JJ	special
I	PP	I
believe	VBP	believe
that	IN	that
I	PP	I
could	MD	could
come	VB	come
up	RP	up
with	IN	with
as	RB	as
good	JJ	good
of	IN	of
effects	NNS	effect
from	IN	from
what	WP	what
I	PP	I
have	VBP	have
lying	VBG	lie
around	RP	around
the	DT	the
house	NN	house
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
have	VB	have
something	NN	something
good	JJ	good
to	TO	to
say	VB	say
about	IN	about
this	DT	this
movie	NN	movie
but	CC	but
I	PP	I
am	VBP	be
afraid	JJ	afraid
that	IN	that
I	PP	I
do	VBP	do
n't	RB	n't
Even	RB	even
Coolio	NP	<unknown>
should	MD	should
be	VB	be
ashamed	JJ	ashamed
of	IN	of
appearing	VBG	appear
in	IN	in
such	PDT	such
a	DT	a
turkey	NN	turkey
I	PP	I
do	VBP	do
after	IN	after
a	DT	a
little	JJ	little
thought	NN	thought
have	VBP	have
one	CD	one
thing	NN	thing
good	JJ	good
to	TO	to
say	VB	say
about	IN	about
this	DT	this
movie	NN	movie
it	PP	it
ended	VBD	end
