up	IN	up
new	JJ	new
season	NN	season
big	JJ	big
'	''	'
little	JJ	little
mosque	NN	mosque
'	POS	'
fan	NN	fan
however	RB	however
new	JJ	new
season	NN	season
absolutely	RB	absolutely
ruined	VBN	ruin
new	JJ	new
christian	JJ	Christian
vicar	NN	vicar
destroyed	VBD	destroy
entire	JJ	entire
intent	NN	intent
always	RB	always
living	VBG	live
overcome	VBN	overcome
prejudice	NN	prejudice
new	JJ	new
vicar	NN	vicar
ruins	NNS	ruin
premise	NN	premise
shows	VBZ	show
christians	NNS	Christian
very	RB	very
bad	JJ	bad
light	NN	light
neither	CC	neither
christian	JJ	Christian
muslim	NNS	<unknown>
but	CC	but
loved	VBD	love
watching	VBG	watch
seeing	VBG	see
camaraderie	NN	camaraderie
amar	NN	<unknown>
reverend	NN	reverend
not	RB	not
any	DT	any
more	RBR	more
just	RB	just
cancel	VB	cancel
it	PP	it
's	VBZ	be
not	RB	not
worth	JJ	worth
watching	VBG	watch
any	DT	any
more	RBR	more
still	RB	still
saved	VBN	save
but	CC	but
lot	NN	lot
change	NN	change
need	MD	need
bring	VB	bring
old	JJ	old
format	NN	format
