Yes	UH	yes
that	WDT	that
's	VBZ	be
right	JJ	right
it	PP	it
is	VBZ	be
I	PP	I
firmly	RB	firmly
believe	VBP	believe
that	IN	that
the	DT	the
N64	NP	<unknown>
and	CC	and
the	DT	the
weird	JJ	weird
looking	VBG	look
controller	NN	controller
were	VBD	be
both	CC	both
designed	VBN	design
just	RB	just
so	IN	so
this	DT	this
game	NN	game
could	MD	could
be	VB	be
made	VBN	make
It	PP	it
was	VBD	be
amazing	VBG	amaze
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
saw	VBD	see
it	PP	it
with	IN	with
its	PP$	its
huge	JJ	huge
environments	NNS	environment
and	CC	and
colorful	JJ	colorful
characters	NNS	character
and	CC	and
its	PP$	its
amazing	JJ	amazing
now	RB	now
The	DT	the
play	NN	play
control	NN	control
is	VBZ	be
perfect	JJ	perfect
the	DT	the
graphics	NNS	graphics
are	VBP	be
beautiful	JJ	beautiful
and	CC	and
it	PP	it
has	VBZ	have
that	DT	that
Nintendo	NP	Nintendo
charm	NN	charm
that	WDT	that
is	VBZ	be
always	RB	always
so	RB	so
intangible	JJ	intangible
but	CC	but
undeniably	RB	undeniably
there	RB	there
A	DT	a
must	MD	must
have	VB	have
for	IN	for
any	DT	any
N64	NP	<unknown>
owner	NN	owner
and	CC	and
a	DT	a
reason	NN	reason
to	TO	to
get	VB	get
an	DT	an
N64	NN	<unknown>
for	IN	for
everyone	NN	everyone
else	RB	else
