B	SYM	b
movie	NN	movie
at	IN	at
best	JJS	good
Sound	JJ	sound
effects	NNS	effect
are	VBP	be
pretty	RB	pretty
good	JJ	good
Lame	NP	Lame
concept	NN	concept
decent	JJ	decent
execution	NN	execution
I	PP	I
suppose	VBP	suppose
it	PP	it
's	VBZ	be
a	DT	a
rental	JJ	rental
"	``	"
You	PP	you
put	VBP	put
some	DT	some
Olive	NP	Olive
Oil	NP	Oil
in	IN	in
your	PP$	your
mouth	NN	mouth
to	TO	to
save	VB	save
you	PP	you
from	IN	from
de	NP	de
poison	NN	poison
den	NN	den
you	PP	you
cut	VBD	cut
de	NP	de
bite	VB	bite
and	CC	and
suck	VB	suck
out	RP	out
de	NP	de
poisen	NP	<unknown>
You	PP	you
gonna	VBG	gonna
be	VB	be
OK	JJ	OK
Tommy	NP	Tommy
"	''	"
"	``	"
You	PP	you
stay	VBP	stay
by	IN	by
the	DT	the
airphone	NN	<unknown>
when	WRB	when
Agent	NP	Agent
Harris	NP	Harris
calls	VBZ	call
you	PP	you
get	VB	get
me	PP	me
"	``	"
"	``	"
Give	VB	give
me	PP	me
a	DT	a
fire	NN	fire
extinguisher	NN	extinguisher
"	''	"
"	``	"
Weapons	NP	<unknown>
we	PP	we
need	VBP	need
weapons	NNS	weapon
Where	WRB	where
's	VBZ	be
the	DT	the
silverware	NN	silverware
All	DT	all
we	PP	we
have	VBP	have
is	VBZ	be
this	DT	this
Sporks	NP	<unknown>
"	''	"
Dr	NP	Dr
Price	NP	Price
is	VBZ	be
the	DT	the
snake	NN	snake
expert	NN	expert
Local	JJ	local
ERs	NN	<unknown>
can	MD	can
handle	VB	handle
the	DT	the
occasional	JJ	occasional
snakebite	NN	snakebite
Alert	NP	Alert
every	DT	every
ER	NN	<unknown>
in	IN	in
the	DT	the
tri	NP	Tri
city	NN	city
area	NN	area
