oh	UH	oh
god	NN	god
where	WRB	where
to	TO	to
begin	VB	begin
bad	JJ	bad
acting	VBG	act
characters	NNS	character
you	PP	you
just	RB	just
do	VBP	do
n't	RB	n't
care	VB	care
about	RB	about
are	VBP	be
they	PP	they
American	JJ	American
or	CC	or
British	JJ	British
they	PP	they
seem	VBP	seem
to	TO	to
think	VB	think
they	PP	they
are	VBP	be
in	IN	in
America	NP	America
because	IN	because
where	WRB	where
else	RB	else
is	VBZ	be
this	DT	this
enormous	JJ	enormous
forest	NN	forest
in	IN	in
the	DT	the
midlands	NNS	midland
one	CD	one
big	JJ	big
fault	NN	fault
they	PP	they
are	VBP	be
driving	VBG	drive
all	DT	all
night	NN	night
through	IN	through
these	DT	these
woods	NNS	wood
unless	IN	unless
they	PP	they
are	VBP	be
going	VBG	go
around	RB	around
and	CC	and
around	RB	around
they	PP	they
'd	MD	will
have	VB	have
been	VBN	be
in	IN	in
Scotland	NP	Scotland
come	VBP	come
the	DT	the
morning	NN	morning
when	WRB	when
the	DT	the
whiny	JJ	whiny
one	CD	one
knocks	NNS	knock
the	DT	the
poor	JJ	poor
wandering	VBG	wander
woman	NN	woman
over	RP	over
and	CC	and
they	PP	they
're	VBP	be
mobiles	NNS	mobile
do	VBP	do
n't	RB	n't
work	VB	work
so	RB	so
what	WP	what
do	VBP	do
they	PP	they
do	VBP	do
split	VBN	split
up	RP	up
of	IN	of
course	NN	course
make	VBP	make
it	PP	it
easier	JJR	easy
to	TO	to
be	VB	be
picked	VBN	pick
off	RP	off
so	RB	so
three	CD	three
go	NN	go
looking	VBG	look
for	IN	for
a	DT	a
house	NN	house
that	WDT	that
might	MD	might
be	VB	be
there	RB	there
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
nowhere	NN	nowhere
and	CC	and
two	CD	two
stay	NN	stay
behind	RB	behind
to	TO	to
'	''	'
care	NN	care
'	''	'
for	IN	for
the	DT	the
unconscious	JJ	unconscious
woman	NN	woman
so	IN	so
what	WP	what
do	VBP	do
they	PP	they
do	VBP	do
rather	RB	rather
than	IN	than
make	VB	make
her	PP$	her
comfortable	JJ	comfortable
cushion	NN	cushion
her	PP	her
head	VBP	head
cover	VB	cover
her	PP	her
up	RP	up
or	CC	or
even	RB	even
move	VB	move
her	PP	her
off	IN	off
the	DT	the
blooming	VBG	bloom
road	NN	road
they	PP	they
just	RB	just
leave	VBP	leave
her	PP	her
lying	VBG	lie
on	IN	on
the	DT	the
hard	JJ	hard
road	NN	road
while	IN	while
they	PP	they
go	VBP	go
and	CC	and
make	VBP	make
a	DT	a
fire	NN	fire
100	CD	@card@
yrds	NNS	<unknown>
away	RB	away
and	CC	and
all	RB	all
the	DT	the
time	NN	time
they	PP	they
have	VBP	have
a	DT	a
camper	JJR	camp
van	NN	van
they	PP	they
could	MD	could
put	VB	put
her	PP	her
in	IN	in
and	CC	and
onto	IN	onto
the	DT	the
horny	JJ	horny
angels	NNS	angel
that	WDT	that
are	VBP	be
supposed	VBN	suppose
to	TO	to
have	VB	have
desired	VBN	desire
human	JJ	human
kind	NN	kind
so	RB	so
much	RB	much
that	IN	that
they	PP	they
were	VBD	be
ejected	VBN	eject
from	IN	from
heaven	NN	heaven
to	TO	to
live	VB	live
amongst	IN	amongst
us	PP	us
so	IN	so
what	WP	what
do	VBP	do
they	PP	they
do	VBP	do
embark	VB	embark
on	IN	on
sexual	JJ	sexual
relations	NNS	relation
with	IN	with
any	DT	any
men	NNS	man
they	PP	they
encounter	VBP	encounter
no	RB	no
they	PP	they
bite	VB	bite
huge	JJ	huge
chunks	NNS	chunk
out	RB	out
of	IN	of
them	PP	them
and	CC	and
rip	VB	rip
their	PP$	their
heads	NNS	head
off	IN	off
i	NP	i
think	VBP	think
they	PP	they
are	VBP	be
missing	VBG	miss
the	DT	the
point	NN	point
these	DT	these
are	VBP	be
not	RB	not
gorgeous	JJ	gorgeous
sexually	RB	sexually
deprived	VBN	deprive
former	JJ	former
angels	NNS	angel
they	PP	they
are	VBP	be
cannabalistic	JJ	<unknown>
vampires	NNS	vampire
and	CC	and
as	RB	as
for	IN	for
tom	NN	tom
savini	NNS	<unknown>
saying	VBG	say
how	WRB	how
breath	NN	breath
takingly	RB	<unknown>
beautiful	JJ	beautiful
they	PP	they
are	VBP	be
well	RB	well
those	DT	those
gals	NNS	gal
have	VBP	have
good	JJ	good
bodies	NNS	body
but	CC	but
nothing	NN	nothing
special	JJ	special
in	IN	in
the	DT	the
face	NN	face
dept	NN	<unknown>
the	DT	the
lead	JJ	lead
role	NN	role
was	VBD	be
far	RB	far
more	RBR	more
pretty	RB	pretty
than	IN	than
these	DT	these
so	RB	so
called	VBN	call
irresistible	JJ	irresistible
sirens	NNS	siren
rubbish	JJ	rubbish
film	NN	film
waste	NN	waste
of	IN	of
2	CD	2
30	CD	@card@
from	IN	from
my	PP$	my
local	JJ	local
library	NN	library
