Ah	UH	ah
I	PP	I
loved	VBD	love
this	DT	this
movie	NN	movie
I	PP	I
think	VBP	think
it	PP	it
had	VBD	have
it	PP	it
all	RB	all
It	PP	it
made	VBD	make
me	PP	me
laugh	VB	laugh
out	RP	out
loud	RB	loud
over	IN	over
a	DT	a
dozen	NN	dozen
of	IN	of
times	NNS	time
Yes	RB	Yes
I	PP	I
am	VBP	be
a	DT	a
girl	NN	girl
so	IN	so
I	PP	I
'm	VBP	be
writing	VBG	write
this	DT	this
from	IN	from
a	DT	a
girl	NN	girl
's	POS	's
perspective	NN	perspective
I	PP	I
think	VBP	think
it	PP	it
's	VBZ	be
a	DT	a
shame	NN	shame
it	PP	it
only	RB	only
scored	VBD	score
5	CD	5
2	CD	2
in	IN	in
rating	NN	rating
Too	RB	too
many	JJ	many
guys	NNS	guy
voting	VBG	vote
It	PP	it
was	VBD	be
far	RB	far
above	IN	above
other	JJ	other
romantic	JJ	romantic
comedies	NNS	comedy
Just	RB	just
because	IN	because
I	PP	I
'm	VBP	be
female	JJ	female
I	PP	I
do	VBP	do
n't	RB	n't
enjoy	VB	enjoy
all	DT	all
chic	JJ	chic
flicks	NNS	flick
on	IN	on
the	DT	the
contrary	NN	contrary
I	PP	I
prefer	VBP	prefer
other	JJ	other
genres	NNS	genre
Romantic	JJ	romantic
comedies	NNS	comedy
tend	VBP	tend
to	TO	to
be	VB	be
shallow	JJ	shallow
and	CC	and
not	RB	not
as	RB	as
funny	JJ	funny
as	IN	as
they	PP	they
meant	VBD	mean
to	TO	to
be	VB	be
But	CC	but
like	IN	like
I	PP	I
said	VBD	say
this	DT	this
movie	NN	movie
had	VBD	have
it	PP	it
all	RB	all
almost	RB	almost
in	IN	in
my	PP$	my
opinion	NN	opinion
Great	JJ	great
script	NN	script
good	JJ	good
one	CD	one
liners	NNS	liner
fine	RB	fine
acting	VBG	act
Although	IN	although
Eva	NP	Eva
Longoria	NP	Longoria
Parker	NP	Parker
's	POS	's
character	NN	character
reminded	VBD	remind
very	RB	very
much	RB	much
of	IN	of
Gabrielle	NP	Gabrielle
from	IN	from
Desperate	NP	<unknown>
Housewives	NP	<unknown>
but	CC	but
so	IN	so
what	WP	what
It	PP	it
was	VBD	be
awesome	JJ	awesome
I	PP	I
will	MD	will
keep	VB	keep
this	DT	this
film	NN	film
for	IN	for
rainy	JJ	rainy
days	NNS	day
days	NNS	day
when	WRB	when
I	PP	I
feel	VBP	feel
low	RB	low
and	CC	and
need	VB	need
a	DT	a
few	JJ	few
laughs	NNS	laugh
