forget	VB	forget
campy	NN	campy
'	POS	'
religious	NN	religious
'	''	'
monopolized	VBN	monopolize
television	NN	television
film	NN	film
market	NN	market
real	JJ	real
feel	NN	feel
while	IN	while
deemed	VBN	deem
as	IN	as
cheap	JJ	cheap
emotional	JJ	emotional
draws	NNS	draw
message	NN	message
forgiveness	NN	forgiveness
overall	JJ	overall
good	JJ	good
morals	NNS	moral
however	RB	however
did	VBD	do
not	RB	not
like	IN	like
lighting	VBG	light
movie	NN	movie
dealing	VBG	deal
subject	JJ	subject
matter	NN	matter
too	RB	too
bright	JJ	bright
felt	NN	felt
took	VBD	take
away	RB	away
overall	JJ	overall
appeal	NN	appeal
almost	RB	almost
unforgivable	JJ	unforgivable
sin	NN	sin
but	CC	but
recognizable	JJ	recognizable
cast	NN	cast
performances	NNS	performance
counteract	VBP	counteract
oversight	NN	oversight
definitely	RB	definitely
worth	JJ	worth
seeing	VBG	see
buy	NN	buy
dvd	NNS	<unknown>
