Hi	UH	hi
I	PP	I
'm	VBP	be
a	DT	a
friend	NN	friend
of	IN	of
werewolf	NN	werewolf
movies	NNS	movie
and	CC	and
when	WRB	when
i	NP	i
saw	VBD	see
the	DT	the
title	NN	title
of	IN	of
Darkwolf	NP	<unknown>
hitting	VBG	hit
the	DT	the
shelves	NNS	shelf
i	NP	i
was	VBD	be
like	IN	like
"	``	"
hmm	NP	Hmm
simple	JJ	simple
and	CC	and
nice	JJ	nice
name	NN	name
to	TO	to
it	PP	it
at	IN	at
least	JJS	least
Althou	NP	<unknown>
i	NP	i
wonder	VBP	wonder
why	WRB	why
i	NNS	i
have	VBP	have
n't	RB	n't
heard	VBN	hear
of	IN	of
it	PP	it
before	IN	before
"	``	"
First	NP	First
of	IN	of
all	PDT	all
the	DT	the
movie	NN	movie
starts	VBZ	start
with	IN	with
tits	NNS	tit
Lots	NNS	lot
of	IN	of
tits	NNS	tit
Tits	NNS	tit
are	VBP	be
pretty	RB	pretty
much	JJ	much
all	PDT	all
this	DT	this
movies	NNS	movie
budget	NN	budget
went	VBD	go
to	TO	to
Who	WP	who
cares	VBZ	care
about	IN	about
a	DT	a
werewolf	NN	werewolf
effect	NN	effect
just	RB	just
pay	VB	pay
the	DT	the
actresses	NNS	actress
enough	RB	enough
to	TO	to
get	VB	get
topless	JJ	topless
shots	NNS	shot
So	RB	so
about	IN	about
the	DT	the
mysterious	JJ	mysterious
darkwolf	NN	<unknown>
character	NN	character
a	DT	a
little	JJ	little
spoilers	NNS	spoiler
ahead	RB	ahead
but	CC	but
who	WP	who
really	RB	really
cares	VBZ	care
He	PP	he
's	VBZ	be
your	PP$	your
average	JJ	average
everyday	JJ	everyday
biker	NN	biker
Not	RB	not
even	RB	even
super	JJ	super
tough	JJ	tough
looking	VBG	look
but	CC	but
like	IN	like
the	DT	the
old	JJ	old
wise	JJ	wise
woman	NN	woman
says	VBZ	say
in	IN	in
the	DT	the
movie	NN	movie
"	``	"
he	PP	he
is	VBZ	be
far	RB	far
more	RBR	more
powerful	JJ	powerful
and	CC	and
dangerous	JJ	dangerous
than	IN	than
you	PP	you
've	VBP	have
ever	RB	ever
faced	VBN	face
before	IN	before
"	``	"
Just	RB	just
by	IN	by
describing	VBG	describe
her	PP	her
a	DT	a
tattooed	VBN	tattoo
biker	NN	biker
type	NN	type
of	IN	of
a	DT	a
guy	NN	guy
Pretty	NP	Pretty
original	JJ	original
I	PP	I
even	RB	even
had	VBD	have
look	NN	look
twice	RB	twice
when	WRB	when
they	PP	they
first	RB	first
used	VBD	use
the	DT	the
"	``	"
red	JJ	red
glowing	JJ	glowing
eyes	NNS	eye
"	``	"
SPECIAL	JJ	special
EFFECT	NN	effect
I	PP	I
mean	VBP	mean
my	PP$	my
god	NN	god
that	IN	that
"	``	"
lets	VBZ	let
plant	NN	plant
red	JJ	red
dots	NNS	dot
on	IN	on
eyes	NNS	eye
with	IN	with
computer	NN	computer
"	``	"
effect	NN	effect
has	VBZ	have
been	VBN	be
used	VBN	use
since	IN	since
the	DT	the
seventies	NNS	seventy
It	PP	it
looks	VBZ	look
plain	RB	plain
ugly	JJ	ugly
here	RB	here
And	CC	and
do	VBP	do
n't	RB	n't
get	VB	get
me	PP	me
started	VBN	start
with	IN	with
the	DT	the
werewolf	NN	werewolf
3D	JJ	3D
CGI	NP	<unknown>
As	RB	as
said	VBD	say
before	IN	before
like	IN	like
an	DT	an
bad	JJ	bad
and	CC	and
old	JJ	old
video	JJ	video
game	NN	game
And	CC	and
finally	RB	finally
as	IN	as
i	NP	i
do	VBP	do
like	IN	like
werewolf	NN	werewolf
films	NNS	film
like	IN	like
i	NP	i
said	VBD	say
They	PP	they
prettymuch	VBP	<unknown>
always	RB	always
build	VB	build
a	DT	a
werewolf	NN	werewolf
legend	NN	legend
of	IN	of
their	PP$	their
own	JJ	own
Darkwolf	NP	<unknown>
does	VBZ	do
build	VB	build
the	DT	the
werewolfworld	NN	<unknown>
as	RB	as
well	RB	well
about	IN	about
some	DT	some
silly	JJ	silly
legends	NNS	legend
of	IN	of
hybrid	JJ	hybrid
werewolves	NNS	werewolf
and	CC	and
the	DT	the
ancient	JJ	ancient
bloodline	NN	bloodline
BUT	NN	but
It	PP	it
almost	RB	almost
instantly	RB	instantly
after	IN	after
creating	VBG	create
the	DT	the
rules	NNS	rule
of	IN	of
engagement	NN	engagement
"	``	"
the	DT	the
darkwolf	NN	<unknown>
kills	VBZ	kill
anyone	NN	anyone
the	DT	the
girl	NN	girl
has	VBZ	have
touched	VBN	touch
"	``	"
starts	VBZ	start
random	JJ	random
slashing	VBG	slash
Which	WDT	which
just	RB	just
does	VBZ	do
n't	RB	n't
make	VB	make
any	DT	any
sense	NN	sense
why	WRB	why
even	RB	even
bother	VB	bother
telling	VBG	tell
us	PP	us
the	DT	the
rules	NNS	rule
of	IN	of
killing	VBG	kill
when	WRB	when
they	PP	they
are	VBP	be
n't	RB	n't
even	RB	even
gonna	VBG	gonna
play	NN	play
by	IN	by
them	PP	them
Aplus	NP	<unknown>
the	DT	the
wolf	NN	wolf
point	NN	point
of	IN	of
view	NN	view
shots	NNS	shot
are	VBP	be
made	VBN	make
with	IN	with
a	DT	a
sony	NN	<unknown>
handycam	NN	<unknown>
or	CC	or
something	NN	something
filming	VBG	film
mostly	RB	mostly
the	DT	the
floor	NN	floor
and	CC	and
walls	NNS	wall
Just	RB	just
add	VBP	add
growling	VBG	growl
noises	NNS	noise
and	CC	and
you	PP	you
've	VBP	have
got	VBN	get
a	DT	a
super	JJ	super
werewolf	NN	werewolf
effect	NN	effect
The	DT	the
gore	NN	gore
is	VBZ	be
partially	RB	partially
OK	JJ	OK
But	CC	but
when	WRB	when
the	DT	the
wolf	NN	wolf
slashes	VBZ	slash
everyone	NN	everyone
with	IN	with
an	DT	an
open	JJ	open
hand	NN	hand
just	RB	just
by	IN	by
basically	RB	basically
laying	VBG	lay
the	DT	the
hand	NN	hand
on	IN	on
top	NN	top
of	IN	of
the	DT	the
victims	NNS	victim
it	PP	it
just	RB	just
does	VBZ	do
n't	RB	n't
do	VB	do
the	DT	the
trick	NN	trick
for	IN	for
me	FW	me
Truly	NP	Truly
WHO	WP	who
gives	VBZ	give
money	NN	money
to	TO	to
make	VB	make
these	DT	these
heaps	NNS	heap
of	IN	of
junk	NN	junk
straight	JJ	straight
to	TO	to
video	JJ	video
horrortitles	NNS	<unknown>
they	PP	they
are	VBP	be
n't	RB	n't
even	RB	even
funny	JJ	funny
kind	NN	kind
of	IN	of
bad	JJ	bad
movies	NNS	movie
just	RB	just
sad	JJ	sad
