Please	UH	Please
help	VB	help
the	DT	the
economy	NN	economy
spend	VB	spend
your	PP$	your
money	NN	money
elsewhere	RB	elsewhere
The	DT	the
synopsis	NN	synopsis
of	IN	of
the	DT	the
movie	NN	movie
is	VBZ	be
the	DT	the
First	NP	First
Lady	NP	Lady
has	VBZ	have
her	PP$	her
husband	NN	husband
assassinated	VBN	assassinate
because	IN	because
he	PP	he
was	VBD	be
cheating	VBG	cheat
on	IN	on
her	PP	her
That	DT	that
's	VBZ	be
it	PP	it
Undetected	JJ	undetected
by	IN	by
anyone	NN	anyone
except	IN	except
Cuba	NP	Cuba
and	CC	and
Angie	NP	Angie
she	PP	she
designs	VBZ	design
and	CC	and
implements	VBZ	implement
a	DT	a
vast	JJ	vast
assassination	NN	assassination
conspiracy	NN	conspiracy
which	WDT	which
no	DT	no
one	CD	one
knows	VBZ	know
about	RB	about
and	CC	and
gets	VBZ	get
away	RB	away
completely	RB	completely
free	VB	free
Some	DT	some
specific	JJ	specific
points	NNS	point
are	VBP	be
particularly	RB	particularly
hilarious	JJ	hilarious
While	IN	while
standing	VBG	stand
in	IN	in
front	NN	front
of	IN	of
the	DT	the
president	NN	president
Cuba	NP	Cuba
a	DT	a
deflects	VBZ	deflect
the	DT	the
assassin	NN	assassin
's	POS	's
bullet	NN	bullet
which	WDT	which
then	RB	then
enters	VBZ	enter
the	DT	the
back	NN	back
of	IN	of
the	DT	the
president	NN	president
's	POS	's
head	NN	head
Cuba	NP	Cuba
and	CC	and
Angie	NP	Angie
watch	VBP	watch
film	NN	film
from	IN	from
a	DT	a
news	NN	news
camera	NN	camera
and	CC	and
they	PP	they
see	VBP	see
a	DT	a
clue	NN	clue
They	PP	they
go	VBP	go
to	TO	to
great	JJ	great
lengths	NNS	length
to	TO	to
protect	VB	protect
the	DT	the
film	NN	film
believing	VBG	believe
that	IN	that
they	PP	they
are	VBP	be
the	DT	the
only	JJ	only
people	NNS	people
that	WDT	that
have	VBP	have
a	DT	a
copy	NN	copy
of	IN	of
this	DT	this
very	RB	very
public	JJ	public
film	NN	film
Cuba	NP	Cuba
speaks	VBZ	speak
with	IN	with
a	DT	a
presidential	JJ	presidential
staff	NN	staff
member	NN	member
The	DT	the
PSM	NN	<unknown>
comments	VBZ	comment
that	IN	that
there	EX	there
was	VBD	be
no	DT	no
conspiracy	NN	conspiracy
Cuba	NP	Cuba
claims	VBZ	claim
there	EX	there
was	VBD	be
more	JJR	more
than	IN	than
one	CD	one
person	NN	person
involved	VBD	involve
The	DT	the
PSM	NN	<unknown>
then	RB	then
rants	VBZ	rant
that	IN	that
the	DT	the
conspiracy	NN	conspiracy
includes	VBZ	include
the	DT	the
FBI	NP	FBI
the	DT	the
CIA	NP	CIA
and	CC	and
the	DT	the
NSA	NP	NSA
Gosh	NP	gosh
I	PP	I
wonder	VBP	wonder
is	VBZ	be
the	DT	the
PSM	NN	<unknown>
is	VBZ	be
involved	VBN	involve
Ms	NN	Ms
Archer	NP	Archer
the	DT	the
First	NP	First
Lady	NP	Lady
is	VBZ	be
a	DT	a
craptacular	JJ	<unknown>
artist	NN	artist
Cuba	NP	Cuba
ca	MD	ca
n't	RB	n't
make	VB	make
out	RP	out
a	DT	a
painting	NN	painting
and	CC	and
she	PP	she
says	VBZ	say
"	``	"
You	PP	you
're	VBP	be
too	RB	too
close	RB	close
stand	VBP	stand
back	RB	back
look	VB	look
from	IN	from
a	DT	a
different	JJ	different
perspective	NN	perspective
look	NN	look
from	IN	from
my	PP$	my
perspective	NN	perspective
"	``	"
Can	MD	Can
anyone	NN	anyone
miss	VBP	miss
THAT	NP	<unknown>
clue	NN	clue
