Why	WRB	why
do	VBP	do
people	NNS	people
bitch	VB	bitch
about	IN	about
this	DT	this
movie	NN	movie
and	CC	and
not	RB	not
about	IN	about
awful	JJ	awful
movies	NNS	movie
like	IN	like
The	DT	the
Godfather	NP	<unknown>
Titanic	NP	<unknown>
is	VBZ	be
the	DT	the
greatest	JJS	great
movie	NN	movie
of	IN	of
the	DT	the
21st	JJ	21st
Century	NN	century
With	IN	with
great	JJ	great
acting	VBG	act
directing	NN	directing
effects	NNS	effect
music	NN	music
and	CC	and
generally	RB	generally
everything	NN	everything
This	DT	this
movie	NN	movie
is	VBZ	be
always	RB	always
dumped	VBN	dump
by	IN	by
all	DT	all
because	IN	because
one	CD	one
day	NN	day
some	DT	some
one	CD	one
said	VBD	say
they	PP	they
did	VBD	do
n't	RB	n't
like	VB	like
it	PP	it
any	DT	any
more	JJR	more
so	IN	so
most	JJS	most
of	IN	of
the	DT	the
world	NN	world
decided	VBD	decide
to	TO	to
agree	VB	agree
There	EX	there
is	VBZ	be
nothing	NN	nothing
wrong	JJ	wrong
with	IN	with
this	DT	this
movie	NN	movie
All	DT	all
I	PP	I
can	MD	can
say	VB	say
is	VBZ	be
that	IN	that
this	DT	this
movie	NN	movie
not	RB	not
only	RB	only
being	VBG	be
the	DT	the
most	RBS	most
heavily	RB	heavily
Oscar	NP	Oscar
Awarded	NP	<unknown>
movie	NN	movie
of	IN	of
all	DT	all
time	NN	time
the	DT	the
most	JJS	most
money	NN	money
ever	RB	ever
made	VBD	make
ever	RB	ever
and	CC	and
sadly	RB	sadly
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
underrated	VBN	underrate
movies	NNS	movie
I	PP	I
've	VBP	have
ever	RB	ever
seen	VBN	see
Apart	RB	apart
from	IN	from
that	IN	that
it	PP	it
is	VBZ	be
truly	RB	truly
the	DT	the
best	JJS	good
movie	NN	movie
of	IN	of
all	DT	all
time	NN	time
The	DT	the
only	JJ	only
movies	NNS	movie
that	WDT	that
come	VBP	come
close	NN	close
to	TO	to
being	VBG	be
like	IN	like
all	PDT	all
the	DT	the
Star	NP	Star
Wars	NPS	Wars
and	CC	and
the	DT	the
Lord	NP	Lord
of	IN	of
the	DT	the
Rings	NP	Rings
trilogy	NN	trilogy
or	CC	or
anything	NN	anything
by	IN	by
the	DT	the
masters	NNS	master
Hitchcock	NP	Hitchcock
or	CC	or
Spielberg	NP	Spielberg
or	CC	or
Tim	NP	Tim
Burton	NP	Burton
These	DT	these
are	VBP	be
all	DT	all
good	JJ	good
movies	NNS	movie
and	CC	and
directors	NNS	director
but	CC	but
none	NN	none
match	VBP	match
up	RP	up
to	TO	to
James	NP	James
Cameron	NP	Cameron
's	POS	's
Masterpiece	NP	Masterpiece
TITANIC	NP	<unknown>
