There	EX	there
are	VBP	be
two	CD	two
reasons	NNS	reason
why	WRB	why
I	PP	I
did	VBD	do
not	RB	not
give	VB	give
a	DT	a
1	CD	1
to	TO	to
this	DT	this
movie	NN	movie
One	CD	One
reason	NN	reason
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
actors	NNS	actor
like	IN	like
Malcolm	NP	Malcolm
McDowell	NP	McDowell
and	CC	and
Gwynyth	NP	<unknown>
Walsh	NP	Walsh
work	NN	work
who	WP	who
tried	VBD	try
to	TO	to
play	VB	play
at	IN	at
their	PP$	their
usually	RB	usually
good	JJ	good
level	NN	level
of	IN	of
acting	VBG	act
However	RB	however
at	IN	at
many	JJ	many
scenes	NNS	scene
they	PP	they
were	VBD	be
somehow	RB	somehow
blocked	VBN	block
by	IN	by
the	DT	the
bad	JJ	bad
scripting	VBG	script
The	DT	the
other	JJ	other
reason	NN	reason
is	VBZ	be
the	DT	the
cool	JJ	cool
idea	NN	idea
and	CC	and
looking	VBG	look
of	IN	of
the	DT	the
Cyborg	NP	<unknown>
which	WDT	which
is	VBZ	be
quite	RB	quite
different	JJ	different
to	TO	to
most	JJS	most
other	JJ	other
such	JJ	such
roles	NNS	role
I	PP	I
've	VBP	have
seen	VBN	see
so	RB	so
far	RB	far
Everything	NN	Everything
else	RB	else
in	IN	in
this	DT	this
movie	NN	movie
is	VBZ	be
as	RB	as
bad	JJ	bad
as	IN	as
it	PP	it
can	MD	can
be	VB	be
Boring	NP	Boring
scenes	NNS	scene
useless	JJ	useless
and	CC	and
boring	JJ	boring
dialogs	NNS	dialog
bad	JJ	bad
script	NN	script
work	NN	work
And	CC	and
it	PP	it
seemed	VBD	seem
as	IN	as
it	PP	it
was	VBD	be
the	DT	the
first	JJ	first
movie	NN	movie
ever	RB	ever
for	IN	for
many	JJ	many
actors	NNS	actor
It	PP	it
could	MD	could
have	VB	have
been	VBN	be
an	DT	an
interesting	JJ	interesting
story	NN	story
though	RB	though
but	CC	but
they	PP	they
failed	VBD	fail
completely	RB	completely
