1999	CD	@card@
will	MD	will
go	VB	go
down	RP	down
in	IN	in
history	NN	history
as	IN	as
the	DT	the
year	NN	year
the	DT	the
movie	NN	movie
critic	NN	critic
lead	VB	lead
the	DT	the
general	JJ	general
public	NN	public
astray	RB	astray
First	RB	first
they	PP	they
sent	VBD	send
us	PP	us
to	TO	to
EYES	NP	<unknown>
WIDE	NP	Wide
SHUT	NP	<unknown>
Then	RB	then
they	PP	they
hyped	VBD	hyp
up	RP	up
THE	DT	the
BLAIR	NP	Blair
WITCH	NP	<unknown>
PROJECT	NP	Project
and	CC	and
now	RB	now
MAGNOLIA	NN	magnolia
which	WDT	which
is	VBZ	be
by	IN	by
far	RB	far
the	DT	the
worst	JJS	bad
movie	NN	movie
of	IN	of
the	DT	the
year	NN	year
What	WP	What
is	VBZ	be
it	PP	it
about	IN	about
Who	WP	who
the	DT	the
heck	NN	heck
knows	VBZ	know
Its	PP$	its
full	JJ	full
of	IN	of
self	JJ	self
indulgence	NN	indulgence
and	CC	and
loaded	VBN	load
with	IN	with
bad	JJ	bad
acting	VBG	act
I	PP	I
always	RB	always
like	VBP	like
to	TO	to
stay	VB	stay
and	CC	and
watch	VB	watch
the	DT	the
credits	NNS	credit
but	CC	but
when	WRB	when
this	DT	this
thing	NN	thing
was	VBD	be
over	IN	over
I	PP	I
could	MD	could
n't	RB	n't
get	VB	get
out	RP	out
of	IN	of
the	DT	the
movie	NN	movie
theatre	NN	theatre
fast	RB	fast
enough	RB	enough
Most	JJS	most
of	IN	of
the	DT	the
audience	NN	audience
that	WDT	that
attended	VBD	attend
the	DT	the
showing	NN	showing
that	IN	that
I	PP	I
was	VBD	be
at	IN	at
felt	VBN	feel
pretty	RB	pretty
much	RB	much
the	DT	the
same	JJ	same
way	NN	way
Dates	NP	Dates
were	VBD	be
arguing	VBG	argue
with	IN	with
each	DT	each
other	JJ	other
as	RB	as
well	RB	well
as	IN	as
strangers	NNS	stranger
It	PP	it
's	VBZ	be
an	DT	an
ugly	JJ	ugly
and	CC	and
hateful	JJ	hateful
film	NN	film
that	WDT	that
will	MD	will
make	VB	make
you	PP	you
feel	VB	feel
ugly	JJ	ugly
and	CC	and
hateful	JJ	hateful
