One	CD	One
of	IN	of
the	DT	the
great	JJ	great
things	NNS	thing
about	RB	about
many	JJ	many
of	IN	of
the	DT	the
superb	JJ	superb
Chinese	JJ	Chinese
movies	NNS	movie
you	PP	you
can	MD	can
find	VB	find
if	IN	if
you	PP	you
are	VBP	be
lucky	JJ	lucky
in	IN	in
the	DT	the
video	JJ	video
stores	NNS	store
is	VBZ	be
they	PP	they
are	VBP	be
very	RB	very
accurate	JJ	accurate
retellings	NNS	<unknown>
of	IN	of
actual	JJ	actual
true	JJ	true
stories	NNS	storey
Farewell	NP	<unknown>
my	PP$	my
Concubine	NP	<unknown>
The	NP	The
Emperor	NP	<unknown>
and	CC	and
the	DT	the
Assassin	NP	<unknown>
and	CC	and
this	DT	this
movie	NN	movie
are	VBP	be
perfect	JJ	perfect
examples	NNS	example
The	DT	the
film	NN	film
makers	NNS	maker
take	VBP	take
a	DT	a
true	JJ	true
story	NN	story
and	CC	and
work	NN	work
hard	JJ	hard
to	TO	to
accurately	RB	accurately
create	VB	create
a	DT	a
movie	NN	movie
without	IN	without
compromising	VBG	compromise
the	DT	the
facts	NNS	fact
for	IN	for
dramatic	JJ	dramatic
or	CC	or
commercial	JJ	commercial
convenience	NN	convenience
the	DT	the
hallmark	NN	hallmark
of	IN	of
much	JJ	much
Hollywood	NP	Hollywood
and	CC	and
especially	RB	especially
Disney	NP	Disney
films	NNS	film
In	IN	in
this	DT	this
story	NN	story
we	PP	we
follow	VBP	follow
the	DT	the
later	JJR	late
years	NNS	year
of	IN	of
an	DT	an
famous	JJ	famous
local	JJ	local
street	NN	street
performer	NN	performer
dubbed	VBD	dub
the	DT	the
King	NP	King
of	IN	of
Masks	NP	<unknown>
for	IN	for
his	PP$	his
mastery	NN	mastery
of	IN	of
Sichuan	NP	Sichuan
Change	NP	Change
Art	NP	Art
Along	IN	along
an	DT	an
having	VBG	have
lost	VBN	lose
his	PP$	his
only	JJ	only
son	NN	son
many	JJ	many
years	NNS	year
earlier	RBR	earlier
he	PP	he
searches	VBZ	search
to	TO	to
find	VB	find
a	DT	a
male	JJ	male
heir	NN	heir
to	TO	to
carry	VB	carry
on	IN	on
his	PP$	his
rare	JJ	rare
and	CC	and
dying	VBG	die
art	NN	art
in	IN	in
a	DT	a
society	NN	society
that	WDT	that
forbids	VBZ	forbid
females	NNS	female
to	TO	to
have	VB	have
such	JJ	such
work	NN	work
Master	NP	Master
Wang	NP	Wang
is	VBZ	be
sold	VBN	sell
a	DT	a
son	NN	son
by	IN	by
a	DT	a
slave	NN	slave
trader	NN	trader
All	DT	all
is	VBZ	be
well	RB	well
as	IN	as
he	PP	he
joyfully	RB	joyfully
prepares	VBZ	prepare
to	TO	to
pass	VB	pass
down	RP	down
his	PP$	his
art	NN	art
But	CC	but
the	DT	the
son	NN	son
eventually	RB	eventually
is	VBZ	be
found	VBN	find
out	RP	out
to	TO	to
be	VB	be
a	DT	a
girl	NN	girl
From	IN	from
there	RB	there
the	DT	the
story	NN	story
get	VB	get
very	RB	very
interesting	JJ	interesting
with	IN	with
a	DT	a
good	JJ	good
performance	NN	performance
by	IN	by
Master	NP	Master
Liang	NP	Liang
of	IN	of
the	DT	the
Sichuan	NP	Sichuan
Opera	NP	Opera
a	DT	a
regional	JJ	regional
operatic	JJ	operatic
style	NN	style
related	VBN	relate
to	TO	to
Peking	NP	Peking
Opera	NP	Opera
Fans	NNS	fan
of	IN	of
Farewell	NP	<unknown>
My	NP	My
Concubine	NP	<unknown>
should	MD	should
look	VB	look
carefully	RB	carefully
at	IN	at
Master	NP	Master
Liang	NP	Liang
's	POS	's
portrayal	NN	portrayal
of	IN	of
a	DT	a
male	NN	male
playing	VBG	play
the	DT	the
female	JJ	female
role	NN	role
in	IN	in
Chinese	NP	Chinese
Opera	NP	Opera
It	PP	it
may	MD	may
help	VB	help
them	PP	them
come	VB	come
to	TO	to
understand	VB	understand
that	IN	that
the	DT	the
players	NNS	player
of	IN	of
these	DT	these
female	JJ	female
roles	NNS	role
were	VBD	be
probably	RB	probably
not	RB	not
homosexuals	NNS	homosexual
or	CC	or
castrati	NNS	castrato
but	CC	but
people	NNS	people
who	WP	who
have	VBP	have
be	VB	be
so	RB	so
psychologically	RB	psychologically
conditioned	VBN	condition
as	RB	as
to	TO	to
be	VB	be
totally	RB	totally
unaware	JJ	unaware
of	IN	of
their	PP$	their
own	JJ	own
sexuality	NN	sexuality
