Oh	UH	oh
dear	JJ	dear
god	NN	god
This	DT	this
was	VBD	be
horrible	JJ	horrible
There	EX	there
is	VBZ	be
bad	RB	bad
then	RB	then
there	EX	there
was	VBD	be
this	DT	this
This	DT	this
movie	NN	movie
makes	VBZ	make
no	DT	no
sense	NN	sense
at	IN	at
all	DT	all
It	PP	it
runs	VBZ	run
all	DT	all
over	IN	over
the	DT	the
map	NN	map
and	CC	and
is	VBZ	be
n't	RB	n't
clear	JJ	clear
about	IN	about
what	WP	what
its	PP$	its
saying	VBG	say
at	IN	at
all	PDT	all
The	DT	the
music	NN	music
seemed	VBD	seem
like	IN	like
it	PP	it
was	VBD	be
trying	VBG	try
to	TO	to
be	VB	be
like	IN	like
Batman	NP	Batman
The	DT	the
fact	NN	fact
that	RB	that
'	POS	'
Edison	NP	Edison
'	''	'
is	VBZ	be
n't	RB	n't
a	DT	a
real	JJ	real
city	NN	city
takes	VBZ	take
away	RB	away
Since	IN	since
I	PP	I
live	VBP	live
in	IN	in
Vancouver	NP	Vancouver
watching	VBG	watch
this	DT	this
movie	NN	movie
and	CC	and
recognizing	VBG	recognize
all	PDT	all
these	DT	these
places	NNS	place
made	VBD	make
it	PP	it
unbearable	JJ	unbearable
Why	WRB	why
did	VBD	do
n't	RB	n't
they	PP	they
make	VBP	make
it	PP	it
a	DT	a
real	JJ	real
city	NN	city
The	DT	the
only	JJ	only
writing	NN	writing
that	WDT	that
was	VBD	be
decent	JJ	decent
was'Tilman	NN	<unknown>
'	''	'
in	IN	in
which	WDT	which
John	NP	John
Heard	NP	Heard
did	VBD	do
a	DT	a
fantastic	JJ	fantastic
job	NN	job
He	PP	he
was	VBD	be
the	DT	the
only	JJ	only
actor	NN	actor
who	WP	who
played	VBD	play
his	PP$	his
role	NN	role
realistically	RB	realistically
and	CC	and
not	RB	not
over	IN	over
the	DT	the
top	NN	top
and	CC	and
campy	NN	campy
It	PP	it
was	VBD	be
actually	RB	actually
a	DT	a
shame	NN	shame
to	TO	to
see	VB	see
John	NP	John
Heard	NP	Heard
play	VB	play
such	PDT	such
a	DT	a
great	JJ	great
bad	JJ	bad
guy	NN	guy
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
screen	NN	screen
time	NN	time
and	CC	and
the	DT	the
movie	NN	movie
be	VB	be
a	DT	a
washout	NN	washout
Too	RB	too
bad	JJ	bad
Hopefully	NP	Hopefully
someone	NN	someone
important	JJ	important
will	MD	will
see	VB	see
it	PP	it
and	CC	and
at	IN	at
least	JJS	least
give	VB	give
John	NP	John
Heard	NP	Heard
credit	NN	credit
where	WRB	where
credit	NN	credit
is	VBZ	be
due	JJ	due
and	CC	and
hire	VB	hire
him	PP	him
as	RB	as
lead	VBP	lead
bad	RB	bad
guy	VB	guy
again	RB	again
which	WDT	which
is	VBZ	be
where	WRB	where
he	PP	he
should	MD	should
be	VB	be
on	IN	on
the	DT	the
A	NP	A
List	NP	List
