previously	RB	previously
wrote	VBD	write
loved	VBN	love
"	``	"
titanic	JJ	titanic
"	''	"
cried	VBN	cry
ending	VBG	end
many	JJ	many
times	NNS	time
i	NNS	i
'm	VBP	be
guy	NN	guy
60	CD	@card@
's	VBZ	be
wondered	VBN	wonder
great	JJ	great
won	VBN	win
many	JJ	many
awards	NNS	award
applauded	VBD	applaud
many	JJ	many
critics	NNS	critic
given	VBN	give
7	CD	7
0	CD	0
rating	NN	rating
imdb	NN	<unknown>
com	NN	com
users	NNS	user
well	RB	well
looked	VBD	look
breakdown	NN	breakdown
user	NN	user
ratings	NNS	rating
while	IN	while
29	CD	@card@
0	CD	0
%	NN	%
all	DT	all
votes	NNS	vote
gave	VBD	give
10	CD	@card@
rating	NN	rating
10	CD	@card@
7	CD	7
%	NN	%
gave	VBD	give
1	CD	1
rating	NN	rating
10	CD	@card@
7	CD	7
%	NN	%
irrational	JJ	irrational
imdb	NN	<unknown>
users	NNS	user
effect	NN	effect
pulled	VBD	pull
overall	JJ	overall
rating	NN	rating
7	CD	7
0	CD	0
previous	JJ	previous
comments	NNS	comment
blamed	VBD	blame
very	RB	very
unusual	JJ	unusual
voting	NN	voting
pattern	NN	pattern
sudden	JJ	sudden
surge	NN	surge
1	CD	1
ratings	NNS	rating
high	JJ	high
10	CD	@card@
rating	NN	rating
dropping	VBG	drop
gradually	RB	gradually
suddenly	RB	suddenly
reversing	VBG	reverse
course	NN	course
jumping	VBG	jump
1	CD	1
rating	NN	rating
level	NN	level
thing	NN	thing
hatred	NN	hatred
leonardo	NN	<unknown>
dicaprio	NN	<unknown>
believe	VBP	believe
i	NNS	i
've	VBP	have
tuned	VBN	tune
enough	JJ	enough
chat	NN	chat
rooms	NNS	room
banter	VBP	banter
young	JJ	young
people	NNS	people
young	JJ	young
men	NNS	man
mostly	RB	mostly
defame	VBP	defame
left	VBN	leave
right	RB	right
absolutely	RB	absolutely
hate	VBP	hate
man	NN	man
no	RB	no
giving	VBG	give
any	DT	any
credit	NN	credit
"	``	"
titanic	JJ	titanic
"	''	"
answer	NN	answer
user	NN	user
not	RB	not
talking	VBG	talk
just	RB	just
really	RB	really
does	VBZ	do
n't	RB	n't
like	IN	like
much	JJ	much
gave	VBD	give
5	CD	5
6	CD	6
entitled	VBN	entitle
taste	NN	taste
but	CC	but
no	RB	no
convince	VB	convince
imdb	NN	<unknown>
rating	NN	rating
7	CD	7
0	CD	0
overall	JJ	overall
"	``	"
titanic	JJ	titanic
"	''	"
pulled	VBD	pull
level	NN	level
inordinate	JJ	inordinate
number	NN	number
ridiculous	JJ	ridiculous
1	CD	1
ratings	NNS	rating
fair	JJ	fair
reflection	NN	reflection
overall	JJ	overall
motion	NN	motion
picture	NN	picture
let	VBD	let
demonstrate	VB	demonstrate
point	NN	point
comparing	VBG	compare
imdb	NN	<unknown>
user	NN	user
voting	NN	voting
pattern	NN	pattern
"	``	"
titanic	JJ	titanic
"	''	"
5	CD	5
randomly	RB	randomly
chosen	VBN	choose
box	NN	box
office	NN	office
critical	JJ	critical
"	``	"
bombs	NNS	bomb
"	''	"
many	JJ	many
more	JJR	more
but	CC	but
5	CD	5
prove	VBP	prove
point	NN	point
"	''	"
heaven	NN	heaven
's	POS	's
gate	NN	gate
"	``	"
1980	CD	@card@
pulled	VBN	pull
theaters	NNS	theater
quickly	RB	quickly
very	RB	very
poor	JJ	poor
box	NN	box
office	NN	office
showing	VBG	show
imdb	NN	<unknown>
voters	NNS	voter
'	POS	'
ratings	NNS	rating
23	CD	@card@
2	CD	2
%	NN	%
10	CD	@card@
ratings	NNS	rating
9	CD	9
2	CD	2
%	NN	%
1	CD	1
ratings	NNS	rating
overall	JJ	overall
rating	NN	rating
6	CD	6
1	CD	1
"	``	"
big	JJ	big
top	JJ	top
pee	NN	pee
wee	NN	wee
"	``	"
1988	CD	@card@
got	VBD	get
4	CD	4
3	CD	3
%	NN	%
10	CD	@card@
ratings	NNS	rating
9	CD	9
9	CD	9
%	NN	%
1	CD	1
ratings	NNS	rating
overall	JJ	overall
rating	NN	rating
4	CD	4
5	CD	5
"	''	"
cat	NN	cat
people	NNS	people
"	``	"
1982	CD	@card@
got	VBD	get
6	CD	6
1	CD	1
%	NN	%
10	CD	@card@
ratings	NNS	rating
2	CD	2
6	CD	6
%	NN	%
1	CD	1
ratings	NNS	rating
overall	JJ	overall
rating	NN	rating
5	CD	5
8	CD	8
"	``	"
blind	JJ	blind
date	NN	date
"	``	"
1987	CD	@card@
got	VBD	get
3	CD	3
0	CD	0
%	NN	%
10	CD	@card@
ratings	NNS	rating
2	CD	2
8	CD	8
%	NN	%
1	CD	1
ratings	NNS	rating
overall	JJ	overall
rating	NN	rating
5	CD	5
3	CD	3
"	``	"
jumpin	NN	<unknown>
'	''	'
jack	NN	jack
flash	NN	flash
"	``	"
1986	CD	@card@
got	VBD	get
4	CD	4
4	CD	4
%	NN	%
10	CD	@card@
ratings	NNS	rating
3	CD	3
7	CD	7
%	NN	%
1	CD	1
ratings	NNS	rating
overall	JJ	overall
rating	NN	rating
5	CD	5
2	CD	2
all	DT	all
films	NNS	film
common	JJ	common
"	``	"
titanic	JJ	titanic
"	''	"
all	DT	all
percentages	NNS	percentage
1	CD	1
ratings	NNS	rating
lower	RBR	lower
than	IN	than
"	``	"
titanic	JJ	titanic
"	''	"
none	NN	none
stinkers	NNS	stinker
nominated	VBD	nominate
single	JJ	single
award	NN	award
again	RB	again
"	``	"
titanic	JJ	titanic
"	''	"
got	VBD	get
10	CD	@card@
7	CD	7
%	NN	%
1	CD	1
ratings	NNS	rating
compare	VBP	compare
5	CD	5
just	RB	just
mentioned	VBN	mention
any	DT	any
explanation	NN	explanation
than	IN	than
hatred	NN	hatred
leo	NN	<unknown>
factor	NN	factor
