Hello	UH	Hello
I	PP	I
was	VBD	be
alanrickmaniac	JJ	<unknown>
I	PP	I
'm	VBP	be
a	DT	a
Still	NP	Still
Crazy	NP	Crazy
holic	JJ	<unknown>
It	PP	it
was	VBD	be
just	RB	just
another	DT	another
movie	NN	movie
I	PP	I
watched	VBD	watch
partly	RB	partly
on	IN	on
TV	NN	TV
Then	RB	then
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
the	DT	the
video	JJ	video
tape	NN	tape
to	TO	to
finally	RB	finally
find	VB	find
out	RP	out
how	WRB	how
it	PP	it
ends	VBZ	end
Then	RB	then
I	PP	I
wanted	VBD	want
the	DT	the
DVD	NN	<unknown>
because	IN	because
the	DT	the
tape	NN	tape
showed	VBD	show
first	JJ	first
signs	NNS	sign
of	IN	of
decay	NN	decay
after	IN	after
a	DT	a
few	JJ	few
weeks	NNS	week
After	IN	after
the	DT	the
DVD	NN	<unknown>
I	PP	I
had	VBD	have
to	TO	to
lay	VB	lay
my	PP$	my
hands	NNS	hand
on	IN	on
the	DT	the
soundtrack	NN	soundtrack
Then	RB	then
on	IN	on
several	JJ	several
film	NN	film
posters	NNS	poster
and	CC	and
the	DT	the
film	NN	film
script	NN	script
Right	RB	right
now	RB	now
it	PP	it
has	VBZ	have
become	VBN	become
that	IN	that
worse	RBR	worse
that	IN	that
I	PP	I
try	VBP	try
to	TO	to
push	VB	push
other	JJ	other
people	NNS	people
into	IN	into
addiction	NN	addiction
with	IN	with
my	PP$	my
website	NN	website
and	CC	and
Still	RB	still
Crazy	NP	Crazy
parties	NNS	party
How	WRB	How
could	MD	could
that	RB	that
happen	VB	happen
What	WP	What
drove	VBD	drive
me	PP	me
into	IN	into
addiction	NN	addiction
OK	RB	OK
it	PP	it
's	VBZ	be
one	CD	one
of	IN	of
those	DT	those
funny	JJ	funny
but	CC	but
somehow	RB	somehow
sad	JJ	sad
and	CC	and
melancholic	JJ	melancholic
intelligent	JJ	intelligent
comedies	NNS	comedy
like	IN	like
only	RB	only
the	DT	the
British	NP	British
can	MD	can
produce	VB	produce
Alright	NP	<unknown>
the	DT	the
movie	NN	movie
is	VBZ	be
worlds	NNS	world
apart	RB	apart
from	IN	from
stuff	NN	stuff
like	IN	like
'	''	'
'	''	'
This	DT	this
Is	VBZ	be
Spinal	NP	<unknown>
Tap	NP	Tap
'	POS	'
'	''	'
because	IN	because
of	IN	of
the	DT	the
characters	NNS	character
that	WDT	that
are	VBP	be
n't	RB	n't
childish	JJ	childish
or	CC	or
ultra	JJ	ultra
cool	JJ	cool
but	CC	but
real	JJ	real
This	DT	this
is	VBZ	be
a	DT	a
story	NN	story
about	IN	about
men	NNS	man
getting	VBG	get
older	JJR	old
too	RB	too
A	DT	a
story	NN	story
about	IN	about
men	NNS	man
getting	VBG	get
along	RP	along
with	IN	with
each	DT	each
other	JJ	other
Or	CC	or
do	VBP	do
