Dominion	NP	Dominion
tank	NN	tank
police	NN	police
is	VBZ	be
an	DT	an
exercise	NN	exercise
in	IN	in
contradictive	JJ	contradictive
film	NN	film
making	VBG	make
The	DT	the
storyline	NN	storyline
across	IN	across
the	DT	the
4	CD	4
parts	NNS	part
blends	VBZ	blend
mindless	JJ	mindless
action	NN	action
slap	NN	slap
stick	NN	stick
humor	NN	humor
touching	VBG	touch
humanity	NN	humanity
and	CC	and
thought	VBD	think
provoking	VBG	provoke
philosophical	JJ	philosophical
questions	NNS	question
It	PP	it
's	VBZ	be
hard	JJ	hard
to	TO	to
believe	VB	believe
that	IN	that
there	EX	there
was	VBD	be
only	RB	only
one	CD	one
director	NN	director
as	IN	as
the	DT	the
style	NN	style
changes	NNS	change
from	IN	from
episode	NN	episode
to	TO	to
episode	NN	episode
A	DT	a
must	MD	must
see	VB	see
movie	NN	movie
for	IN	for
anyone	NN	anyone
who	WP	who
likes	VBZ	like
anime	NN	<unknown>
