Wow	NN	wow
alot	NN	<unknown>
of	IN	of
reviews	NNS	review
for	IN	for
the	DT	the
Devils	NP	Devils
Experiment	NP	<unknown>
are	VBP	be
here	RB	here
Wonderful	JJ	wonderful
My	PP$	my
name	NN	name
is	VBZ	be
Steve	NP	Steve
and	CC	and
I	PP	I
run	VBP	run
Unearthed	JJ	<unknown>
Films	NNS	film
We	PP	we
just	RB	just
started	VBD	start
releasing	VBG	release
the	DT	the
Guinea	NP	Guinea
Pig	NP	<unknown>
films	NNS	film
on	IN	on
DVD	NN	<unknown>
for	IN	for
North	NP	North
America	NP	America
Now	RB	now
before	IN	before
you	PP	you
ask	VBP	ask
why	WRB	why
am	VBP	be
I	PP	I
writing	VBG	write
a	DT	a
review	NN	review
Instead	RB	instead
ask	VB	ask
why	WRB	why
some	DT	some
people	NNS	people
bash	VBP	bash
it	PP	it
I	PP	I
'm	VBP	be
writing	VBG	write
this	DT	this
review	NN	review
because	IN	because
I	PP	I
love	VBP	love
the	DT	the
Guinea	NP	Guinea
Pig	NP	<unknown>
films	NNS	film
Why	WRB	why
do	VBP	do
I	PP	I
love	VBP	love
em	NN	em
it	PP	it
's	VBZ	be
because	IN	because
they	PP	they
go	VBP	go
for	IN	for
the	DT	the
throat	NN	throat
and	CC	and
they	PP	they
do	VBP	do
n't	RB	n't
let	VB	let
go	VB	go
I	PP	I
've	VBP	have
seen	VBN	see
it	PP	it
all	RB	all
Almost	RB	almost
every	DT	every
horror	NN	horror
film	NN	film
known	VBN	know
to	TO	to
man	VB	man
Argento	NP	Argento
Fulci	NP	<unknown>
Bava	NP	Bava
Buttgereit	NP	<unknown>
from	IN	from
every	DT	every
underground	JJ	underground
cult	NN	cult
sensation	NN	sensation
to	TO	to
every	DT	every
Hollywood	NP	Hollywood
blockbuster	NN	blockbuster
I	PP	I
've	VBP	have
seen	VBN	see
it	PP	it
all	RB	all
and	CC	and
the	DT	the
films	NNS	film
that	WDT	that
have	VBP	have
stuck	VBN	stick
in	IN	in
my	PP$	my
head	NN	head
over	IN	over
the	DT	the
years	NNS	year
was	VBD	be
definitely	RB	definitely
the	DT	the
Guinea	NP	Guinea
Pig	NP	<unknown>
films	NNS	film
Why	WRB	why
because	IN	because
it	PP	it
does	VBZ	do
n't	RB	n't
try	VB	try
to	TO	to
hide	VB	hide
the	DT	the
reason	NN	reason
why	WRB	why
we	PP	we
watch	VBP	watch
horror	NN	horror
movies	NNS	movie
in	IN	in
the	DT	the
1st	JJ	1st
place	NN	place
This	DT	this
review	NN	review
is	VBZ	be
for	IN	for
the	DT	the
Devils	NP	Devils
Experiment	NN	experiment
I	PP	I
find	VBP	find
it	PP	it
devoid	JJ	devoid
of	IN	of
story	NN	story
which	WDT	which
is	VBZ	be
fine	JJ	fine
by	IN	by
me	PP	me
Why	WRB	why
do	VBP	do
I	PP	I
watch	VB	watch
horror	NN	horror
films	NNS	film
So	IN	so
I	PP	I
can	MD	can
see	VB	see
blood	NN	blood
and	CC	and
gore	NN	gore
and	CC	and
the	DT	the
torture	NN	torture
of	IN	of
people	NNS	people
The	DT	the
Devils	NP	Devils
Experiment	NP	<unknown>
not	RB	not
only	RB	only
delivers	VBZ	deliver
but	CC	but
that	WDT	that
's	VBZ	be
all	DT	all
it	PP	it
is	VBZ	be
Pure	NP	<unknown>
unadulterated	NP	unadulterated
violence	NN	violence
Yeah	NP	Yeah
I	NP	I
like	IN	like
a	DT	a
story	NN	story
but	CC	but
sometimes	RB	sometimes
I	PP	I
just	RB	just
want	VBP	want
the	DT	the
gore	NN	gore
and	CC	and
the	DT	the
Devils	NP	Devils
Experiment	NP	<unknown>
delivers	VBZ	deliver
ten	CD	ten
fold	NN	fold
Why	WRB	why
do	VBP	do
people	NNS	people
bash	VB	bash
it	PP	it
Cause	NP	Cause
they	PP	they
like	VBP	like
a	DT	a
story	NN	story
so	RB	so
that	IN	that
the	DT	the
torture	NN	torture
and	CC	and
death	NN	death
of	IN	of
a	DT	a
person	NN	person
can	MD	can
be	VB	be
hidden	VBN	hide
behind	IN	behind
a	DT	a
story	NN	story
It	PP	it
make	VBP	make
em	NN	em
feel	VBP	feel
better	JJR	good
about	IN	about
themselves	PP	themselves
We	PP	we
all	RB	all
want	VBP	want
blood	NN	blood
and	CC	and
gore	VB	gore
It	PP	it
's	VBZ	be
just	RB	just
really	RB	really
hard	JJ	hard
to	TO	to
justify	VB	justify
it	PP	it
if	IN	if
it	PP	it
's	VBZ	be
not	RB	not
wrapped	VBN	wrap
around	IN	around
a	DT	a
story	NN	story
The	DT	the
Guinea	NP	Guinea
Pig	NP	<unknown>
films	NNS	film
have	VBP	have
a	DT	a
historical	JJ	historical
meaning	NN	meaning
to	TO	to
them	PP	them
and	CC	and
they	PP	they
have	VBP	have
created	VBN	create
a	DT	a
definitive	JJ	definitive
splash	NN	splash
whenever	WRB	whenever
they	PP	they
have	VBP	have
been	VBN	be
released	VBN	release
I	PP	I
'm	VBP	be
thrilled	VBN	thrill
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
release	VB	release
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
famous	JJ	famous
horror	NN	horror
series	NN	series
in	IN	in
the	DT	the
world	NN	world
Maybe	RB	maybe
I	PP	I
should	MD	should
n't	RB	n't
have	VB	have
written	VBN	write
this	DT	this
review	NN	review
but	CC	but
then	RB	then
again	RB	again
maybe	RB	maybe
I	PP	I
should	MD	should
My	PP$	my
view	NN	view
is	VBZ	be
biased	VBN	bias
cause	NN	cause
were	VBD	be
releasing	VBG	release
them	PP	them
but	CC	but
then	RB	then
again	RB	again
it	PP	it
's	VBZ	be
not	RB	not
I	PP	I
've	VBP	have
always	RB	always
told	VBN	tell
people	NNS	people
to	TO	to
find	VB	find
them	PP	them
and	CC	and
to	TO	to
watch	VB	watch
them	PP	them
way	NN	way
before	IN	before
I	PP	I
started	VBD	start
Unearthed	JJ	<unknown>
Films	NNS	film
Sure	RB	sure
it	PP	it
's	VBZ	be
exploitive	JJ	exploitive
and	CC	and
over	IN	over
the	DT	the
top	NN	top
but	CC	but
is	VBZ	be
n't	RB	n't
that	IN	that
why	WRB	why
we	PP	we
watch	VBP	watch
horror	NN	horror
films	NNS	film
in	IN	in
the	DT	the
1st	JJ	1st
place	NN	place
The	DT	the
Devils	NP	Devils
Experiment	NP	<unknown>
is	VBZ	be
NOT	NN	<unknown>
for	IN	for
everybody	NN	everybody
It	PP	it
's	VBZ	be
for	IN	for
thrill	NN	thrill
seekers	NNS	seeker
and	CC	and
gorehounds	NNS	<unknown>
only	RB	only
If	IN	if
you	PP	you
think	VBP	think
Jason	NP	Jason
movies	NNS	movie
and	CC	and
Freddy	NP	Freddy
Krueger	NP	Krueger
movies	NNS	movie
are	VBP	be
awesome	JJ	awesome
then	RB	then
stick	VB	stick
to	TO	to
those	DT	those
But	CC	but
if	IN	if
your	PP$	your
on	IN	on
the	DT	the
next	JJ	next
level	NN	level
and	CC	and
have	VBP	have
seen	VBN	see
it	PP	it
all	RB	all
then	RB	then
the	DT	the
Devils	NP	Devils
Experiment	NP	<unknown>
is	VBZ	be
for	IN	for
you	PP	you
There	EX	there
is	VBZ	be
a	DT	a
reason	NN	reason
why	WRB	why
they	PP	they
have	VBP	have
n't	RB	n't
been	VBN	be
released	VBN	release
for	IN	for
over	IN	over
17	CD	@card@
years	NNS	year
They	PP	they
are	VBP	be
wrong	RB	wrong
disgusting	JJ	disgusting
and	CC	and
down	RB	down
right	RB	right
freaky	JJ	freaky
and	CC	and
not	RB	not
something	NN	something
to	TO	to
watch	VB	watch
with	IN	with
your	PP$	your
mom	NN	mom
unless	IN	unless
she	PP	she
is	VBZ	be
totally	RB	totally
cool	JJ	cool
Good	JJ	good
luck	NN	luck
enjoy	VB	enjoy
and	CC	and
never	RB	never
stop	VB	stop
living	VBG	live
your	PP$	your
life	NN	life
