How	WRB	How
many	JJ	many
more	JJR	more
of	IN	of
those	DT	those
fake	JJ	fake
"	``	"
slice	NN	slice
of	IN	of
life	NN	life
"	''	"
movies	NNS	movie
need	VBP	need
to	TO	to
be	VB	be
made	VBN	make
Hopefully	RB	hopefully
not	RB	not
too	RB	too
many	JJ	many
Raising	NP	Raising
Victor	NP	Victor
Vargas	NP	Vargas
is	VBZ	be
a	DT	a
very	RB	very
self	JJ	self
conscious	JJ	conscious
attempt	NN	attempt
by	IN	by
the	DT	the
director	NN	director
Peter	NP	Peter
Solett	NP	<unknown>
at	IN	at
garnering	VBG	garner
the	DT	the
attention	NN	attention
of	IN	of
Hollywood	NP	Hollywood
Nothing	NN	nothing
wrong	JJ	wrong
with	IN	with
that	IN	that
in	IN	in
general	NN	general
What	WP	What
is	VBZ	be
wrong	JJ	wrong
with	IN	with
this	DT	this
film	NN	film
in	IN	in
particular	JJ	particular
is	VBZ	be
that	IN	that
it	PP	it
ignores	VBZ	ignore
the	DT	the
audience	NN	audience
and	CC	and
piles	NNS	pile
on	IN	on
every	DT	every
clich	NN	<unknown>
in	IN	in
the	DT	the
book	NN	book
of	IN	of
supposedly	RB	supposedly
"	``	"
edgy	JJ	edgy
"	''	"
Hollywood	NP	Hollywood
independent	JJ	independent
production	NN	production
It	PP	it
's	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
"	``	"
real	JJ	real
"	''	"
so	RB	so
left	RB	left
shake	VB	shake
the	DT	the
camera	NN	camera
"	``	"
documentary	JJ	documentary
style	NN	style
"	''	"
except	IN	except
no	DT	no
documentarian	NN	<unknown>
would	MD	would
shake	VB	shake
the	DT	the
camera	NN	camera
on	IN	on
purpose	NN	purpose
It	PP	it
's	VBZ	be
"	``	"
edgy	JJ	edgy
"	''	"
so	IN	so
let	NN	let
's	POS	's
not	RB	not
waste	VB	waste
any	DT	any
time	NN	time
lighting	VBG	light
the	DT	the
film	NN	film
It	PP	it
's	VBZ	be
"	``	"
hip	JJ	hip
"	''	"
so	RB	so
let	VB	let
's	VBZ	be
have	VB	have
the	DT	the
children	NNS	child
use	VBP	use
swear	VB	swear
words	NNS	word
like	IN	like
Al	NP	Al
Pacino	NP	Pacino
in	IN	in
Scarface	NP	Scarface
And	CC	and
so	RB	so
on	RB	on
and	CC	and
so	RB	so
forth	RB	forth
All	DT	all
that	IN	that
you	PP	you
are	VBP	be
left	JJ	left
with	IN	with
is	VBZ	be
a	DT	a
very	RB	very
self	JJ	self
conscious	JJ	conscious
attempt	NN	attempt
at	IN	at
impressing	VBG	impress
Hollywood	NP	Hollywood
that	WDT	that
wo	MD	wo
n't	RB	n't
impress	VB	impress
anyone	NN	anyone
outside	IN	outside
of	IN	of
the	DT	the
"	``	"
rarefied	JJ	rarefied
"	''	"
indie	NN	<unknown>
crowd	NN	crowd
that	WDT	that
seems	VBZ	seem
to	TO	to
still	RB	still
heap	VB	heap
acclaim	NN	acclaim
on	IN	on
every	DT	every
bad	JJ	bad
film	NN	film
